Balancete/Balanco Geral (Documentos: 4010 - 4016 - 4020 - 4026);;;;;;;;;;;;;;;;
Data de geracao dos dados: 2015-07-09;;;;;;;;;;;;;; R$1.613.183.001.003,61 ;148;
Fonte: Instituicoes financeiras;;;;;;;;;;;; R$183.668.961.079.270,00 ;; R$321.010.000.000,00 ;BCO DO BRASIL S.A.;0,198991683
#DATA_BASE;DOCUMENTO;CNPJ;AGENCIA;NOME_INSTITUICAO;COD_CONGL;NOME_CONGL;TAXONOMIA;CONTA;NOME_CONTA; SALDO ;;;; R$4.534.232.073,00 ;BRB - BCO DE BRASILIA S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;10000007;CIRCULANTE E REALIZAVEL A LONGO PRAZO;8,04E+11;;;; R$29.997.395,87 ;BCO POTTENCIAL S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;11000006;DISPONIBILIDADES;18225103376;;;; R$239.386.000.000,00 ;CAIXA ECONOMICA FEDERAL;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;11100009;CAIXA;8312858574;;;; R$552.708.789,30 ;BANCO INTERMEDIUM S/A;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;11300005;RESERVAS LIVRES;9709097910;;;; R$247.207.936,20 ;BCO RIBEIRAO PRETO S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;11500001;DISPONIBILIDADES EM MOEDAS ESTRANGEIRAS;203146891,4;;;; R$2.426.849.717,00 ;BCO CETELEM S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;12000005;APLICACOES INTERFINANCEIRAS DE LIQUIDEZ;1,63E+11;;;; R$281.385.108,00 ;BANCO SEMEAR;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;12100008;APLICACOES EM OPERACOES COMPROMISSADAS;1,39E+11;;;; R$3.624.512.189,00 ;BCO RABOBANK INTL BRASIL S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;12200001;APLICACOES EM DEPOSITOS INTERFINANCEIROS;7166905683;;;; R$7.173.572.853,00 ;BCO COOPERATIVO SICREDI S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;12600003;APLICA_OES EM MOEDAS ESTRANGEIRAS;16470204857;;;; R$349.763.854,50 ;BCO BNP PARIBAS BRASIL S A;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;13000004;TITULOS E VALORES MOBILIARIOS E INSTRUMENTOS      FINANCEIROS DERIVATIVOS;88252671954;;;; R$36.056.609.170,00 ;HSBC BANK BRASIL SA BCO MULTIP;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;13100007;LIVRES;42574743006;;;; R$4.339.372.275,00 ;BANCOOB;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;13200000;VINCULADOS A OPERACOES COMPROMISSADAS;37941696304;;;; R$49.278.725,54 ;BCO KEB DO BRASIL SA;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;13300003;INSTRUMENTOS FINANCEIROS DERIVATIVOS;741266419,7;;;; R$2.488.249.558,00 ;BCO CATERPILLAR S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;13400006;VINCULADOS AO BANCO CENTRAL;47869459,76;;;; R$2.122.152.153,00 ;BCO TOYOTA DO BRASIL S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;13600002;VINCULADOS A PRESTACAO DE GARANTIAS;3047271036;;;; R$2.599.237.017,00 ;BANCO CNH INDUSTRIAL CAPITAL S.A;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;13700005;TêTULOS OBJETO DE OPERA‚ÍES COMPROMISSADAS COM LIVRE MOVIMENTA‚ÌO;3899825729;;;; R$828.838.819,40 ;HIPERCARD BM S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;14000003;RELACOES INTERFINANCEIRAS;97508471135;;;; R$7.031.458.339,00 ;BCO. J.SAFRA S.A.;
