data,Saldo.Crédito
01/01/1990,1
01/02/1990,1
01/03/1990,2
01/04/1990,2
01/05/1990,2
01/06/1990,3
01/07/1990,3
01/08/1990,3
01/09/1990,4
01/10/1990,4
01/11/1990,5
01/12/1990,6
01/01/1991,7
01/02/1991,8
01/03/1991,9
01/04/1991,10
01/05/1991,11
01/06/1991,12
01/07/1991,13
01/08/1991,15
01/09/1991,18
01/10/1991,22
01/11/1991,28
01/12/1991,35
01/01/1992,45
01/02/1992,56
01/03/1992,69
01/04/1992,84
01/05/1992,103
01/06/1992,131
01/07/1992,162
01/08/1992,202
01/09/1992,255
01/10/1992,322
01/11/1992,409
01/12/1992,523
01/01/1993,659
01/02/1993,843
01/03/1993,1067
01/04/1993,1386
01/05/1993,1838
01/06/1993,2411
01/07/1993,3215
01/08/1993,4348
01/09/1993,5907
01/10/1993,8288
01/11/1993,11427
01/12/1993,15789
01/01/1994,22015
01/02/1994,31619
01/03/1994,45129
01/04/1994,63896
01/05/1994,94895
01/06/1994,140753
01/07/1994,151410
01/08/1994,161528
01/09/1994,170178
01/10/1994,177727
01/11/1994,183928
01/12/1994,186856
01/01/1995,193123
01/02/1995,200569
01/03/1995,207983
01/04/1995,215147
01/05/1995,221882
01/06/1995,226148
01/07/1995,223165
01/08/1995,224534
01/09/1995,229352
01/10/1995,233029
01/11/1995,237909
01/12/1995,238644
01/01/1996,237355
01/02/1996,240545
01/03/1996,244550
01/04/1996,245389
01/05/1996,246296
01/06/1996,247998
01/07/1996,248124
01/08/1996,247309
01/09/1996,248882
01/10/1996,252646
01/11/1996,251760
01/12/1996,252507
01/01/1997,254729
01/02/1997,257380
01/03/1997,259971
01/04/1997,263138
01/05/1997,267567
01/06/1997,272685
01/07/1997,276711
01/08/1997,281114
01/09/1997,285783
01/10/1997,290084
01/11/1997,292603
01/12/1997,259689
01/01/1998,259247
01/02/1998,264561
01/03/1998,264251
01/04/1998,266188
01/05/1998,268014
01/06/1998,267094
01/07/1998,266781
01/08/1998,268189
01/09/1998,271290
01/10/1998,271372
01/11/1998,278754
01/12/1998,276888
01/01/1999,285572
01/02/1999,288519
01/03/1999,281128
01/04/1999,278607
01/05/1999,280168
01/06/1999,280154
01/07/1999,282091
01/08/1999,284365
01/09/1999,287791
01/10/1999,292800
01/11/1999,295824
01/12/1999,288505
01/01/2000,289197
01/02/2000,287573
01/03/2000,286084
01/04/2000,291609
01/05/2000,312232
01/06/2000,307011
01/07/2000,309905
01/08/2000,310257
01/09/2000,308673
01/10/2000,312895
01/11/2000,320782
01/12/2000,326826
01/01/2001,326686
01/02/2001,335278
01/03/2001,343913
01/04/2001,349563
01/05/2001,355931
01/06/2001,319496
01/07/2001,324558
01/08/2001,332145
01/09/2001,340660
01/10/2001,343567
01/11/2001,345008
01/12/2001,336376
01/01/2002,337735
01/02/2002,340040
01/03/2002,341234
01/04/2002,344649
01/05/2002,349678
01/06/2002,357544
01/07/2002,364476
01/08/2002,359768
01/09/2002,381788
01/10/2002,378612
01/11/2002,381846
01/12/2002,384396
01/01/2003,384508
01/02/2003,388320
01/03/2003,386969
01/04/2003,383307
01/05/2003,386300
01/06/2003,388582
01/07/2003,389881
01/08/2003,392427
01/09/2003,397523
01/10/2003,403151
01/11/2003,413115
01/12/2003,418258
01/01/2004,417770
01/02/2004,420849
01/03/2004,423347
01/04/2004,435554
01/05/2004,445864
01/06/2004,452933
01/07/2004,457302
01/08/2004,464457
01/09/2004,473707
01/10/2004,487245
01/11/2004,493284
01/12/2004,498722
01/01/2005,505701
01/02/2005,511638
01/03/2005,520285
01/04/2005,530000
01/05/2005,533930
01/06/2005,541320
01/07/2005,548819
01/08/2005,557835
01/09/2005,564357
01/10/2005,575972
01/11/2005,590126
01/12/2005,607023
01/01/2006,608729
01/02/2006,615673
01/03/2006,625790
01/04/2006,637440
01/05/2006,654129
01/06/2006,658510
01/07/2006,669514
01/08/2006,674302
01/09/2006,684392
01/10/2006,697581
01/11/2006,717045
01/12/2006,732590
01/01/2007,738456
01/02/2007,748518
01/03/2007,762353
01/04/2007,781888
01/05/2007,793133
01/06/2007,805488
01/07/2007,824442
01/08/2007,849829
01/09/2007,865511
01/10/2007,889035
01/11/2007,918815
01/12/2007,943922
01/01/2008,953413
01/02/2008,967443
01/03/2008,1001598
01/04/2008,1026847
01/05/2008,1053889
01/06/2008,1076833
01/07/2008,1094368
01/08/2008,1119457
01/09/2008,1160687
01/10/2008,1193073
01/11/2008,1215779
01/12/2008,1233987
01/01/2009,1235244
01/02/2009,1234825
01/03/2009,1248303
01/04/2009,1254564
01/05/2009,1266918
01/06/2009,1282923
01/07/2009,1313534
01/08/2009,1333320
01/09/2009,1353111
01/10/2009,1372244
01/11/2009,1392918
01/12/2009,1420515
01/01/2010,1430550
01/02/2010,1441519
01/03/2010,1458091
01/04/2010,1474310
01/05/2010,1505517
01/06/2010,1536422
01/07/2010,1556280
01/08/2010,1589856
01/09/2010,1621541
01/10/2010,1651813
01/11/2010,1685712
01/12/2010,1712708
01/01/2011,1718711
01/02/2011,1741509
01/03/2011,1759678
01/04/2011,1783487
01/05/2011,1812128
01/06/2011,1840157
01/07/2011,1861598
01/08/2011,1894713
01/09/2011,1935781
01/10/2011,1950658
01/11/2011,1988613
01/12/2011,2033954
01/01/2012,2033185
