Segmento,Sigla,Ano,Mês,Quantidade,Período
Banco Múltiplo,BM,1978,Dez,0,Dez 1978
Banco Comercial,BC,1978,Dez,108,Dez 1978
Banco de Desenvolvimento,BD,1978,Dez,14,Dez 1978
Caixas Econômicas,CE,1978,Dez,6,Dez 1978
Banco de Investimento,BI,1978,Dez,40,Dez 1978
Banco de Câmbio,B Camb,1978,Dez,0,Dez 1978
Banco Múltiplo,BM,1979,Dez,0,Dez 1979
Banco Comercial,BC,1979,Dez,110,Dez 1979
Banco de Desenvolvimento,BD,1979,Dez,14,Dez 1979
Caixas Econômicas,CE,1979,Dez,5,Dez 1979
Banco de Investimento,BI,1979,Dez,40,Dez 1979
Banco de Câmbio,B Camb,1979,Dez,0,Dez 1979
Banco Múltiplo,BM,1980,Dez,0,Dez 1980
Banco Comercial,BC,1980,Dez,114,Dez 1980
Banco de Desenvolvimento,BD,1980,Dez,14,Dez 1980
Caixas Econômicas,CE,1980,Dez,5,Dez 1980
Banco de Investimento,BI,1980,Dez,40,Dez 1980
Banco de Câmbio,B Camb,1980,Dez,0,Dez 1980
Banco Múltiplo,BM,1981,Dez,0,Dez 1981
Banco Comercial,BC,1981,Dez,113,Dez 1981
Banco de Desenvolvimento,BD,1981,Dez,14,Dez 1981
Caixas Econômicas,CE,1981,Dez,5,Dez 1981
Banco de Investimento,BI,1981,Dez,40,Dez 1981
Banco de Câmbio,B Camb,1981,Dez,0,Dez 1981
Banco Múltiplo,BM,1982,Dez,0,Dez 1982
Banco Comercial,BC,1982,Dez,115,Dez 1982
Banco de Desenvolvimento,BD,1982,Dez,14,Dez 1982
Caixas Econômicas,CE,1982,Dez,5,Dez 1982
Banco de Investimento,BI,1982,Dez,40,Dez 1982
Banco de Câmbio,B Camb,1982,Dez,0,Dez 1982
Banco Múltiplo,BM,1983,Dez,0,Dez 1983
Banco Comercial,BC,1983,Dez,112,Dez 1983
Banco de Desenvolvimento,BD,1983,Dez,14,Dez 1983
Caixas Econômicas,CE,1983,Dez,5,Dez 1983
Banco de Investimento,BI,1983,Dez,40,Dez 1983
Banco de Câmbio,B Camb,1983,Dez,0,Dez 1983
Banco Múltiplo,BM,1984,Dez,0,Dez 1984
Banco Comercial,BC,1984,Dez,110,Dez 1984
Banco de Desenvolvimento,BD,1984,Dez,14,Dez 1984
Caixas Econômicas,CE,1984,Dez,5,Dez 1984
Banco de Investimento,BI,1984,Dez,40,Dez 1984
Banco de Câmbio,B Camb,1984,Dez,0,Dez 1984
Banco Múltiplo,BM,1985,Dez,0,Dez 1985
Banco Comercial,BC,1985,Dez,105,Dez 1985
Banco de Desenvolvimento,BD,1985,Dez,14,Dez 1985
Caixas Econômicas,CE,1985,Dez,5,Dez 1985
Banco de Investimento,BI,1985,Dez,36,Dez 1985
Banco de Câmbio,B Camb,1985,Dez,0,Dez 1985
Banco Múltiplo,BM,1986,Dez,0,Dez 1986
Banco Comercial,BC,1986,Dez,103,Dez 1986
Banco de Desenvolvimento,BD,1986,Dez,14,Dez 1986
Caixas Econômicas,CE,1986,Dez,5,Dez 1986
Banco de Investimento,BI,1986,Dez,38,Dez 1986
Banco de Câmbio,B Camb,1986,Dez,0,Dez 1986
Banco Múltiplo,BM,1987,Dez,0,Dez 1987
Banco Comercial,BC,1987,Dez,103,Dez 1987
Banco de Desenvolvimento,BD,1987,Dez,13,Dez 1987
Caixas Econômicas,CE,1987,Dez,5,Dez 1987
Banco de Investimento,BI,1987,Dez,43,Dez 1987
Banco de Câmbio,B Camb,1987,Dez,0,Dez 1987
Banco Múltiplo,BM,1988,Dez,8,Dez 1988
Banco Comercial,BC,1988,Dez,99,Dez 1988
Banco de Desenvolvimento,BD,1988,Dez,11,Dez 1988
Caixas Econômicas,CE,1988,Dez,5,Dez 1988
Banco de Investimento,BI,1988,Dez,55,Dez 1988
Banco de Câmbio,B Camb,1988,Dez,0,Dez 1988
Banco Múltiplo,BM,1989,Dez,114,Dez 1989
Banco Comercial,BC,1989,Dez,61,Dez 1989
Banco de Desenvolvimento,BD,1989,Dez,10,Dez 1989
Caixas Econômicas,CE,1989,Dez,4,Dez 1989
Banco de Investimento,BI,1989,Dez,35,Dez 1989
Banco de Câmbio,B Camb,1989,Dez,0,Dez 1989
Banco Múltiplo,BM,1990,Dez,166,Dez 1990
Banco Comercial,BC,1990,Dez,50,Dez 1990
Banco de Desenvolvimento,BD,1990,Dez,11,Dez 1990
Caixas Econômicas,CE,1990,Dez,2,Dez 1990
Banco de Investimento,BI,1990,Dez,26,Dez 1990
Banco de Câmbio,B Camb,1990,Dez,0,Dez 1990
Banco Múltiplo,BM,1991,Dez,181,Dez 1991
Banco Comercial,BC,1991,Dez,46,Dez 1991
Banco de Desenvolvimento,BD,1991,Dez,11,Dez 1991
Caixas Econômicas,CE,1991,Dez,2,Dez 1991
Banco de Investimento,BI,1991,Dez,22,Dez 1991
Banco de Câmbio,B Camb,1991,Dez,0,Dez 1991
Banco Múltiplo,BM,1992,Dez,192,Dez 1992
Banco Comercial,BC,1992,Dez,42,Dez 1992
Banco de Desenvolvimento,BD,1992,Dez,10,Dez 1992
Caixas Econômicas,CE,1992,Dez,2,Dez 1992
Banco de Investimento,BI,1992,Dez,20,Dez 1992
Banco de Câmbio,B Camb,1992,Dez,0,Dez 1992
Banco Múltiplo,BM,1993,Dez,199,Dez 1993
Banco Comercial,BC,1993,Dez,41,Dez 1993
Banco de Desenvolvimento,BD,1993,Dez,9,Dez 1993
Caixas Econômicas,CE,1993,Dez,2,Dez 1993
Banco de Investimento,BI,1993,Dez,18,Dez 1993
Banco de Câmbio,B Camb,1993,Dez,0,Dez 1993
Banco Múltiplo,BM,1994,Dez,204,Dez 1994
Banco Comercial,BC,1994,Dez,38,Dez 1994
Banco de Desenvolvimento,BD,1994,Dez,6,Dez 1994
Caixas Econômicas,CE,1994,Dez,2,Dez 1994
Banco de Investimento,BI,1994,Dez,19,Dez 1994
