Data;1849 - Recolhimentos obrigatórios de instituições financeiras - Recursos à vista em espécie (não remunerados) - u.m.c. (mil)
07/1994;3.229.000
08/1994;4.824.000
09/1994;7.083.000
10/1994;7.470.000
11/1994;7.032.000
12/1994;9.066.000
01/1995;10.099.000
02/1995;7.773.000
03/1995;8.805.000
04/1995;6.874.000
05/1995;7.212.000
06/1995;6.577.000
07/1995;7.559.000
08/1995;7.912.000
09/1995;5.238.000
10/1995;7.170.000
11/1995;6.555.000
12/1995;9.589.000
01/1996;12.835.000
02/1996;7.898.000
03/1996;7.103.000
04/1996;6.199.000
05/1996;7.370.000
06/1996;7.282.000
07/1996;10.358.000
08/1996;6.560.000
09/1996;10.973.000
10/1996;6.063.000
11/1996;4.933.000
12/1996;6.229.000
01/1997;12.282.000
02/1997;10.195.000
03/1997;12.557.000
04/1997;17.631.000
05/1997;11.604.000
06/1997;14.726.000
07/1997;14.036.000
08/1997;12.027.000
09/1997;16.295.000
10/1997;17.187.000
11/1997;13.138.000
12/1997;17.146.000
01/1998;18.243.000
02/1998;16.889.000
03/1998;18.502.000
04/1998;18.536.000
05/1998;17.137.000
06/1998;23.130.000
07/1998;18.173.000
08/1998;20.327.000
09/1998;16.944.000
10/1998;16.107.000
11/1998;23.620.000
12/1998;19.815.000
01/1999;22.220.000
02/1999;20.452.000
03/1999;19.798.000
04/1999;20.036.000
05/1999;24.282.000
06/1999;16.669.000
07/1999;24.311.000
08/1999;17.329.000
09/1999;18.928.000
10/1999;18.201.000
11/1999;19.128.000
12/1999;22.882.000
01/2000;21.482.000
02/2000;22.328.000
03/2000;19.780.000
04/2000;18.058.000
05/2000;16.757.000
06/2000;12.559.000
07/2000;16.239.000
08/2000;19.011.000
09/2000;16.131.000
10/2000;18.088.000
11/2000;18.969.000
12/2000;19.323.000
01/2001;18.723.000
02/2001;23.735.000
03/2001;18.335.000
04/2001;17.659.000
05/2001;18.264.000
06/2001;17.981.000
07/2001;17.685.000
08/2001;18.415.000
09/2001;20.593.000
10/2001;18.471.000
11/2001;20.447.000
12/2001;20.627.000
01/2002;21.962.000
02/2002;20.584.000
03/2002;21.097.000
04/2002;20.268.000
05/2002;23.668.000
06/2002;21.888.000
07/2002;22.962.000
08/2002;23.836.000
09/2002;28.264.000
10/2002;26.982.000
11/2002;25.448.000
12/2002;30.216.000
01/2003;26.909.000
02/2003;29.832.000
03/2003;31.951.000
04/2003;35.418.000
05/2003;32.002.000
06/2003;30.943.000
07/2003;34.357.000
08/2003;24.546.000
09/2003;23.014.000
10/2003;23.882.000
11/2003;26.154.000
12/2003;29.865.000
01/2004;29.857.000
02/2004;30.290.000
03/2004;25.736.000
04/2004;27.899.000
05/2004;28.010.000
06/2004;28.661.000
07/2004;32.296.000
08/2004;31.721.000
09/2004;29.151.000
10/2004;29.100.000
11/2004;31.215.000
12/2004;36.088.000
01/2005;36.662.000
02/2005;33.782.000
03/2005;33.661.000
04/2005;33.353.000
05/2005;35.147.000
06/2005;33.207.000
07/2005;33.449.000
08/2005;33.800.000
09/2005;32.938.000
10/2005;32.313.000
11/2005;35.623.000
12/2005;42.041.000
01/2006;40.929.000
02/2006;40.219.000
03/2006;38.107.000
04/2006;37.576.000
05/2006;35.180.000
06/2006;41.964.000
07/2006;40.484.000
08/2006;45.582.000
09/2006;42.027.000
10/2006;42.081.000
11/2006;45.427.000
12/2006;50.451.000
01/2007;47.737.000
02/2007;45.139.000
03/2007;46.564.000
04/2007;52.944.000
05/2007;46.929.000
06/2007;52.036.000
07/2007;51.375.000
08/2007;49.113.000
09/2007;51.865.000
10/2007;54.726.000
11/2007;58.727.000
12/2007;62.802.000
01/2008;55.313.000
02/2008;53.391.000
03/2008;56.286.000
04/2008;51.971.000
05/2008;59.750.000
06/2008;57.182.000
07/2008;52.445.000
08/2008;53.617.000
09/2008;55.916.000
10/2008;51.614.000
11/2008;48.001.000
12/2008;52.320.000
01/2009;52.346.000
02/2009;51.771.000
03/2009;53.289.000
04/2009;61.665.000
05/2009;49.150.000
06/2009;53.967.000
07/2009;48.683.000
08/2009;48.211.000
09/2009;55.398.000
10/2009;55.433.900
11/2009;60.819.000
12/2009;57.657.000
01/2010;56.012.000
02/2010;56.493.000
03/2010;58.277.000
04/2010;56.874.000
05/2010;59.742.000
06/2010;60.330.000
07/2010;60.337.000
08/2010;68.064.000
09/2010;67.542.000
10/2010;69.943.000
11/2010;68.677.000
12/2010;83.226.000
01/2011;80.350.197
02/2011;74.990.154
03/2011;71.575.256
04/2011;64.619.909
05/2011;69.425.040
06/2011;81.506.620
07/2011;70.147.512
08/2011;66.752.810
09/2011;71.815.456
10/2011;70.272.118
11/2011;61.817.831
12/2011;79.526.272
01/2012;89.167.168
02/2012;70.409.247
03/2012;81.954.870
04/2012;70.080.178
05/2012;68.332.378
06/2012;72.806.508
07/2012;75.064.184
08/2012;73.456.550
09/2012;68.385.395
10/2012;70.229.520
11/2012;71.222.187
12/2012;76.694.633
01/2013;76.907.060
02/2013;68.717.234
03/2013;68.922.878
04/2013;72.148.462
05/2013;61.551.792
06/2013;75.727.378
07/2013;68.670.039
08/2013;65.930.852
09/2013;80.920.411
10/2013;63.304.977
11/2013;61.884.038
12/2013;76.504.971
01/2014;67.781.882
02/2014;63.030.469
03/2014;75.011.630
04/2014;69.018.203
05/2014;62.602.655
06/2014;66.593.691
07/2014;67.056.857
08/2014;71.383.450
09/2014;73.838.715
10/2014;66.321.390
11/2014;70.357.116
12/2014;73.897.496
01/2015;69.053.687
02/2015;69.858.800
