Data;17633 - Recolhimentos obrigatórios de instituições financeiras - Saldo total - u.m.c. (mil)
07/1994;19.135.693
08/1994;21.406.444
09/1994;31.141.012
10/1994;39.437.815
11/1994;42.820.699
12/1994;46.834.681
01/1995;50.357.841
02/1995;49.155.569
03/1995;52.036.845
04/1995;49.526.376
05/1995;49.327.501
06/1995;49.609.726
07/1995;51.686.324
08/1995;46.519.479
09/1995;39.697.497
10/1995;40.925.976
11/1995;41.431.017
12/1995;44.187.000
01/1996;47.094.000
02/1996;42.341.000
03/1996;41.792.000
04/1996;40.376.000
05/1996;41.046.000
06/1996;41.108.000
07/1996;40.412.000
08/1996;37.513.000
09/1996;41.770.000
10/1996;37.694.000
11/1996;38.198.000
12/1996;40.799.000
01/1997;44.900.000
02/1997;39.835.000
03/1997;42.516.000
04/1997;47.829.000
05/1997;43.274.000
06/1997;47.136.000
07/1997;47.341.000
08/1997;45.446.000
09/1997;50.189.000
10/1997;52.628.000
11/1997;49.499.000
12/1997;55.218.000
01/1998;57.081.000
02/1998;57.001.000
03/1998;59.017.000
04/1998;59.441.000
05/1998;58.498.000
06/1998;64.957.000
07/1998;60.739.000
08/1998;62.926.000
09/1998;58.015.000
10/1998;57.609.000
11/1998;65.300.000
12/1998;61.426.000
01/1999;64.374.000
02/1999;62.993.000
03/1999;72.569.000
04/1999;72.433.000
05/1999;72.549.000
06/1999;65.207.000
07/1999;68.831.000
08/1999;57.937.000
09/1999;50.324.000
10/1999;38.914.000
11/1999;39.583.000
12/1999;43.607.000
01/2000;42.379.000
02/2000;43.449.000
03/2000;41.121.000
04/2000;39.335.000
05/2000;38.134.000
06/2000;34.140.000
07/2000;38.239.000
08/2000;41.437.000
09/2000;38.672.000
10/2000;40.170.000
11/2000;40.640.000
12/2000;40.967.000
01/2001;40.752.000
02/2001;45.878.000
03/2001;40.981.000
04/2001;40.791.000
05/2001;42.125.000
06/2001;42.618.000
07/2001;43.238.000
08/2001;44.557.000
09/2001;59.677.000
10/2001;58.342.000
11/2001;60.753.000
12/2001;61.817.000
01/2002;63.576.000
02/2002;62.412.000
03/2002;63.391.000
04/2002;63.077.000
05/2002;67.132.000
06/2002;73.292.000
07/2002;82.587.000
08/2002;91.659.000
09/2002;103.002.000
10/2002;117.495.000
11/2002;116.091.000
12/2002;121.192.000
01/2003;118.160.000
02/2003;122.068.000
03/2003;123.376.000
04/2003;127.250.000
05/2003;123.185.000
06/2003;122.458.000
07/2003;125.549.000
08/2003;116.900.000
09/2003;114.905.000
10/2003;116.357.000
11/2003;118.969.000
12/2003;123.967.000
01/2004;123.901.000
02/2004;120.801.000
03/2004;112.489.000
04/2004;112.051.000
05/2004;109.512.000
06/2004;112.794.000
07/2004;118.187.000
08/2004;118.359.000
09/2004;117.018.000
10/2004;118.126.000
11/2004;114.576.000
12/2004;121.459.000
01/2005;123.824.000
02/2005;121.812.000
03/2005;123.974.000
04/2005;125.312.000
05/2005;126.405.000
06/2005;125.802.000
07/2005;128.164.000
08/2005;128.922.000
09/2005;130.108.000
10/2005;129.736.000
11/2005;134.369.000
12/2005;143.978.000
01/2006;144.131.000
02/2006;142.218.000
03/2006;141.073.000
04/2006;141.514.000
05/2006;138.642.000
06/2006;149.471.000
07/2006;148.108.000
08/2006;153.364.000
09/2006;150.800.000
10/2006;151.134.000
11/2006;157.316.000
12/2006;164.312.000
01/2007;161.999.000
02/2007;160.420.000
03/2007;162.223.000
04/2007;169.407.000
05/2007;164.553.000
06/2007;170.969.000
07/2007;172.382.000
08/2007;172.364.000
09/2007;178.627.000
10/2007;183.289.000
11/2007;188.917.000
12/2007;196.737.000
01/2008;190.692.000
02/2008;190.472.000
03/2008;196.372.000
04/2008;198.568.000
05/2008;219.639.000
06/2008;223.482.000
07/2008;230.799.000
08/2008;239.841.000
09/2008;253.137.000
10/2008;201.033.000
11/2008;169.410.457
12/2008;171.958.000
01/2009;172.602.000
02/2009;172.504.000
03/2009;174.924.000
04/2009;183.792.000
05/2009;173.502.000
06/2009;179.472.000
07/2009;175.810.000
08/2009;176.819.000
09/2009;185.979.000
10/2009;186.209.600
11/2009;191.672.000
12/2009;193.633.000
01/2010;193.202.000
02/2010;195.040.000
03/2010;233.151.000
04/2010;270.675.000
05/2010;275.598.000
06/2010;279.479.000
07/2010;285.588.000
08/2010;295.479.000
09/2010;301.260.000
10/2010;307.243.000
11/2010;313.528.000
12/2010;395.283.000
01/2011;404.113.445
02/2011;400.495.720
03/2011;400.885.493
04/2011;398.923.143
05/2011;404.495.920
06/2011;418.573.020
07/2011;416.229.870
08/2011;420.789.752
09/2011;434.701.215
10/2011;440.218.714
11/2011;432.485.147
12/2011;448.542.346
01/2012;445.995.547
02/2012;411.993.138
03/2012;407.741.349
04/2012;393.022.715
05/2012;393.041.552
06/2012;395.009.220
07/2012;383.431.755
08/2012;382.024.005
09/2012;365.373.730
10/2012;352.569.766
11/2012;345.190.223
12/2012;348.514.650
01/2013;353.236.681
02/2013;345.286.860
03/2013;346.480.422
04/2013;348.624.385
05/2013;340.127.009
06/2013;361.862.915
07/2013;360.602.964
08/2013;360.619.457
09/2013;374.172.100
10/2013;357.656.504
11/2013;362.894.138
12/2013;386.694.620
01/2014;389.308.287
02/2014;389.750.135
03/2014;405.780.106
04/2014;398.913.183
05/2014;395.724.678
06/2014;402.372.545
07/2014;409.730.859
08/2014;386.065.505
09/2014;371.259.659
10/2014;362.954.062
11/2014;357.016.028
12/2014;356.052.534
01/2015;353.264.783
02/2015;350.495.566
03/2015;350.960.637
04/2015;347.491.529
05/2015;357.516.314
06/2015;344.423.532
07/2015;343.766.449
08/2015;356.124.419
09/2015;382.010.112
10/2015;386.681.027
11/2015;389.305.300
12/2015;395.128.045
01/2016;399.386.485
02/2016;413.656.739
03/2016;398.675.631
04/2016;397.584.952
05/2016;404.258.586
06/2016;405.266.135
07/2016;412.633.627
08/2016;416.129.749
09/2016;426.252.176
10/2016;428.905.461
11/2016;428.435.756
12/2016;435.697.327
01/2017;455.943.312
02/2017;454.447.309
03/2017;445.333.297
04/2017;461.356.141
05/2017;446.247.146
06/2017;470.172.685
07/2017;461.647.792
08/2017;464.040.991
09/2017;472.250.166
10/2017;464.404.020
11/2017;467.505.556
12/2017;469.472.372
01/2018;463.881.615
02/2018;457.094.002
03/2018;468.277.349
04/2018;451.685.323
05/2018;419.147.487
06/2018;419.606.229
07/2018;432.051.825
08/2018;429.247.578
09/2018;435.216.466
10/2018;449.416.027
11/2018;437.975.011
12/2018;443.380.483
01/2019;443.942.991
02/2019;448.311.923
03/2019;451.663.766
04/2019;450.202.711
05/2019;452.008.230
06/2019;450.957.585
07/2019;428.715.351
08/2019;441.840.677
09/2019;438.367.411
10/2019;447.645.460
11/2019;446.749.907
12/2019;448.737.891
01/2020;475.564.121
02/2020;457.956.086
03/2020;354.878.750
04/2020;382.660.232
05/2020;408.883.942
06/2020;418.246.452
07/2020;442.643.360
08/2020;413.622.652
09/2020;407.851.792
10/2020;429.051.032
11/2020;415.594.547
12/2020;415.499.473
01/2021;426.090.011
Fonte;BCB-DSTAT
