Data;1848 - Recolhimentos obrigatórios de instituições financeiras - Depósitos de poupança em espécie (remunerados) - u.m.c. (mil);1849 - Recolhimentos obrigatórios de instituições financeiras - Recursos à vista em espécie (não remunerados) - u.m.c. (mil);1850 - Recolhimentos obrigatórios de instituições financeiras - Depósitos a prazo em espécie (remunerados) - u.m.c. (mil);17633 - Recolhimentos obrigatórios de instituições financeiras - Saldo total - u.m.c. (mil)
07/1994;6.234.000 ;3.229.000 ;-;19.135.693
08/1994;6.351.000 ;4.824.000 ;-;21.406.444
09/1994;7.711.000 ;7.083.000 ;-;31.141.012
10/1994;7.869.000 ;7.470.000 ;-;39.437.815
11/1994;8.117.000 ;7.032.000 ;-;42.820.699
12/1994;8.173.000 ;9.066.000 ;-;46.834.681
01/1995;8.319.000 ;10.099.000 ;-;50.357.841
02/1995;8.376.000 ;7.773.000 ;-;49.155.569
03/1995;8.491.000 ;8.805.000 ;-;52.036.845
04/1995;8.803.000 ;6.874.000 ;-;49.526.376
05/1995;9.452.000 ;7.212.000 ;-;49.327.501
06/1995;9.966.000 ;6.577.000 ;1.940.000 ;49.609.726
07/1995;10.477.000 ;7.559.000 ;1.981.000 ;51.686.324
08/1995;10.679.000 ;7.912.000 ;2.102.000 ;46.519.479
09/1995;8.551.000 ;5.238.000 ;2.082.000 ;39.697.497
10/1995;8.589.000 ;7.170.000 ;2.159.000 ;40.925.976
11/1995;8.679.000 ;6.555.000 ;2.168.000 ;41.431.017
12/1995;8.921.000 ;9.589.000 ;2.166.000 ;44.187.000
01/1996;9.524.000 ;12.835.000 ;2.155.000 ;47.094.000
02/1996;9.554.000 ;7.898.000 ;2.082.000 ;42.341.000
03/1996;9.563.000 ;7.103.000 ;2.106.000 ;41.792.000
04/1996;9.539.000 ;6.199.000 ;2.077.000 ;40.376.000
05/1996;9.467.000 ;7.370.000 ;1.879.000 ;41.046.000
06/1996;9.403.000 ;7.282.000 ;0 ;41.108.000
07/1996;9.431.000 ;10.358.000 ;0 ;40.412.000
08/1996;9.428.000 ;6.560.000 ;0 ;37.513.000
09/1996;9.499.000 ;10.973.000 ;0 ;41.770.000
10/1996;9.627.000 ;6.063.000 ;2.354.000 ;37.694.000
11/1996;9.810.000 ;4.933.000 ;4.605.000 ;38.198.000
12/1996;10.111.000 ;6.229.000 ;5.984.000 ;40.799.000
01/1997;10.682.000 ;12.282.000 ;6.427.000 ;44.900.000
02/1997;11.153.000 ;10.195.000 ;7.402.000 ;39.835.000
03/1997;11.442.000 ;12.557.000 ;8.444.000 ;42.516.000
04/1997;11.653.000 ;17.631.000 ;9.437.000 ;47.829.000
05/1997;11.899.000 ;11.604.000 ;11.041.000 ;43.274.000
06/1997;12.460.000 ;14.726.000 ;11.314.000 ;47.136.000
07/1997;12.652.000 ;14.036.000 ;13.432.000 ;47.341.000
08/1997;12.824.000 ;12.027.000 ;13.691.000 ;45.446.000
09/1997;12.769.000 ;16.295.000 ;14.333.000 ;50.189.000
10/1997;12.849.000 ;17.187.000 ;15.578.000 ;52.628.000
11/1997;13.138.000 ;13.138.000 ;15.744.000 ;49.499.000
12/1997;14.056.000 ;17.146.000 ;16.083.000 ;55.218.000
01/1998;14.084.000 ;18.243.000 ;16.598.000 ;57.081.000
02/1998;14.328.000 ;16.889.000 ;17.450.000 ;57.001.000
03/1998;13.767.000 ;18.502.000 ;17.695.000 ;59.017.000
04/1998;13.717.000 ;18.536.000 ;17.770.000 ;59.441.000
05/1998;13.751.000 ;17.137.000 ;18.061.000 ;58.498.000
06/1998;13.921.000 ;23.130.000 ;18.278.000 ;64.957.000
07/1998;14.492.000 ;18.173.000 ;18.384.000 ;60.739.000
08/1998;14.652.000 ;20.327.000 ;18.090.000 ;62.926.000
09/1998;14.505.000 ;16.944.000 ;12.543.000 ;58.015.000
10/1998;14.632.000 ;16.107.000 ;0 ;57.609.000
11/1998;14.756.000 ;23.620.000 ;0 ;65.300.000
12/1998;14.915.000 ;19.815.000 ;0 ;61.426.000
01/1999;15.068.000 ;22.220.000 ;0 ;64.374.000
02/1999;15.107.000 ;20.452.000 ;0 ;62.993.000
03/1999;15.252.000 ;19.798.000 ;0 ;72.569.000
04/1999;15.292.000 ;20.036.000 ;0 ;72.433.000
05/1999;15.364.000 ;24.282.000 ;0 ;72.549.000
06/1999;15.460.000 ;16.669.000 ;0 ;65.207.000
07/1999;16.044.000 ;24.311.000 ;0 ;68.831.000
08/1999;15.701.000 ;17.329.000 ;0 ;57.937.000
09/1999;15.414.000 ;18.928.000 ;0 ;50.324.000
10/1999;15.000.000 ;18.201.000 ;0 ;38.914.000
11/1999;14.755.000 ;19.128.000 ;0 ;39.583.000
12/1999;14.899.000 ;22.882.000 ;0 ;43.607.000
01/2000;15.021.000 ;21.482.000 ;0 ;42.379.000
02/2000;15.029.000 ;22.328.000 ;0 ;43.449.000
03/2000;14.965.000 ;19.780.000 ;0 ;41.121.000
04/2000;14.831.000 ;18.058.000 ;0 ;39.335.000
05/2000;14.718.000 ;16.757.000 ;0 ;38.134.000
06/2000;14.855.000 ;12.559.000 ;0 ;34.140.000
07/2000;15.108.000 ;16.239.000 ;0 ;38.239.000
08/2000;15.362.000 ;19.011.000 ;0 ;41.437.000
09/2000;15.305.000 ;16.131.000 ;0 ;38.672.000
10/2000;14.817.000 ;18.088.000 ;0 ;40.170.000
11/2000;14.523.000 ;18.969.000 ;0 ;40.640.000
12/2000;14.716.000 ;19.323.000 ;0 ;40.967.000
01/2001;15.066.000 ;18.723.000 ;0 ;40.752.000
02/2001;15.008.000 ;23.735.000 ;0 ;45.878.000
03/2001;14.996.000 ;18.335.000 ;0 ;40.981.000
04/2001;14.939.000 ;17.659.000 ;0 ;40.791.000
05/2001;15.003.000 ;18.264.000 ;0 ;42.125.000
06/2001;15.324.000 ;17.981.000 ;0 ;42.618.000
07/2001;15.709.000 ;17.685.000 ;0 ;43.238.000
08/2001;16.035.000 ;18.415.000 ;0 ;44.557.000
09/2001;16.256.000 ;20.593.000 ;0 ;59.677.000
10/2001;16.545.000 ;18.471.000 ;0 ;58.342.000
11/2001;16.884.000 ;20.447.000 ;0 ;60.753.000
12/2001;17.574.000 ;20.627.000 ;0 ;61.817.000
01/2002;17.737.000 ;21.962.000 ;0 ;63.576.000
02/2002;17.703.000 ;20.584.000 ;0 ;62.412.000
03/2002;17.748.000 ;21.097.000 ;0 ;63.391.000
