Data;27708 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Financiamento de investimentos com recursos do BNDES - % a.a.;27709 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Financiamento agroindustrial com recursos do BNDES - % a.a.;27710 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas físicas - Crédito rural com taxas de mercado - % a.a.;27711 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas físicas - Crédito rural com taxas reguladas - % a.a.;27712 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas físicas - Crédito rural total - % a.a.;27713 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas físicas - Financiamento imobiliário com taxas de mercado - % a.a.;27714 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas físicas - Financiamento imobiliário com taxas reguladas - % a.a.;27715 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas físicas - Financiamento imobiliário total - % a.a.;27716 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas físicas - Financiamento de investimentos com recursos do BNDES - % a.a.;27717 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas físicas - Financiamento agroindustrial com recursos do BNDES - % a.a.
01/2013;8,99 ;7,86 ;12,81 ;5,35 ;5,68 ;15,68 ;8,06 ;9,14 ;8,36 ;5,49
02/2013;8,92 ;7,81 ;12,71 ;5,31 ;5,64 ;15,54 ;8,01 ;9,08 ;8,30 ;5,36
03/2013;8,83 ;7,74 ;12,54 ;5,27 ;5,60 ;15,32 ;7,94 ;9,00 ;8,25 ;5,24
04/2013;8,72 ;7,62 ;12,29 ;5,23 ;5,55 ;15,13 ;7,89 ;8,94 ;8,13 ;5,11
05/2013;8,59 ;7,56 ;12,16 ;5,18 ;5,49 ;14,88 ;7,84 ;8,87 ;7,99 ;5,01
06/2013;8,50 ;7,45 ;12,04 ;5,13 ;5,43 ;14,69 ;7,79 ;8,82 ;7,86 ;4,94
07/2013;8,42 ;7,39 ;11,85 ;5,10 ;5,40 ;14,53 ;7,75 ;8,77 ;7,78 ;4,89
08/2013;8,34 ;7,30 ;11,68 ;5,07 ;5,35 ;14,36 ;7,72 ;8,73 ;7,65 ;4,83
09/2013;8,27 ;7,21 ;11,42 ;5,03 ;5,30 ;14,27 ;7,71 ;8,72 ;7,55 ;4,78
10/2013;8,20 ;7,08 ;11,43 ;5,01 ;5,27 ;14,16 ;7,71 ;8,69 ;7,52 ;4,72
11/2013;8,14 ;6,95 ;11,69 ;4,98 ;5,25 ;14,14 ;7,71 ;8,69 ;7,49 ;4,67
12/2013;8,05 ;6,88 ;11,97 ;4,95 ;5,24 ;14,13 ;7,72 ;8,69 ;7,46 ;4,60
01/2014;7,99 ;6,80 ;12,12 ;4,94 ;5,24 ;14,17 ;7,74 ;8,71 ;7,42 ;4,55
02/2014;7,97 ;6,76 ;12,22 ;4,92 ;5,21 ;14,17 ;7,74 ;8,71 ;7,40 ;4,52
03/2014;7,92 ;6,68 ;12,35 ;4,90 ;5,20 ;14,06 ;7,77 ;8,72 ;7,38 ;4,52
04/2014;7,88 ;6,64 ;12,57 ;4,89 ;5,20 ;14,12 ;7,78 ;8,74 ;7,38 ;4,50
05/2014;7,86 ;6,61 ;12,80 ;4,87 ;5,19 ;14,11 ;7,81 ;8,76 ;7,39 ;4,48
06/2014;7,83 ;6,58 ;12,90 ;4,87 ;5,19 ;14,09 ;7,83 ;8,77 ;7,37 ;4,46
07/2014;7,81 ;6,53 ;13,02 ;4,89 ;5,22 ;14,09 ;7,87 ;8,80 ;7,35 ;4,45
08/2014;7,78 ;6,48 ;13,14 ;4,93 ;5,25 ;14,10 ;7,90 ;8,82 ;7,34 ;4,46
09/2014;7,76 ;6,47 ;13,74 ;4,96 ;5,31 ;14,07 ;7,92 ;8,84 ;7,32 ;4,46
10/2014;7,74 ;6,45 ;13,78 ;4,99 ;5,35 ;14,05 ;7,95 ;8,86 ;7,30 ;4,46
11/2014;7,72 ;6,43 ;13,74 ;5,01 ;5,38 ;14,02 ;7,97 ;8,87 ;7,29 ;4,45
12/2014;7,68 ;6,42 ;13,77 ;5,04 ;5,39 ;13,95 ;7,98 ;8,87 ;7,27 ;4,45
01/2015;7,67 ;6,39 ;13,82 ;5,05 ;5,41 ;13,89 ;8,00 ;8,88 ;7,26 ;4,45
02/2015;7,67 ;6,39 ;13,90 ;5,06 ;5,44 ;13,86 ;8,01 ;8,88 ;7,25 ;4,44
03/2015;7,67 ;6,37 ;14,06 ;5,06 ;5,46 ;13,84 ;8,04 ;8,90 ;7,24 ;4,45
04/2015;7,66 ;6,36 ;14,21 ;5,08 ;5,48 ;13,82 ;8,07 ;8,91 ;7,23 ;4,44
05/2015;7,67 ;6,37 ;14,42 ;5,10 ;5,52 ;13,82 ;8,10 ;8,94 ;7,21 ;4,44
06/2015;7,65 ;6,38 ;14,82 ;5,12 ;5,56 ;13,84 ;8,13 ;8,96 ;7,16 ;4,44
07/2015;7,68 ;6,35 ;15,22 ;5,26 ;5,72 ;13,86 ;8,17 ;8,99 ;7,14 ;4,46
08/2015;7,69 ;6,36 ;15,66 ;5,47 ;5,94 ;13,87 ;8,20 ;9,02 ;7,12 ;4,48
09/2015;7,70 ;6,37 ;16,08 ;5,65 ;6,14 ;13,90 ;8,23 ;9,05 ;7,14 ;4,52
10/2015;7,71 ;6,40 ;16,53 ;5,79 ;6,32 ;13,92 ;8,25 ;9,07 ;7,15 ;4,57
11/2015;7,73 ;6,44 ;16,82 ;5,94 ;6,50 ;13,94 ;8,28 ;9,09 ;7,17 ;4,63
12/2015;7,75 ;6,53 ;17,09 ;6,10 ;6,68 ;13,90 ;8,31 ;9,10 ;7,21 ;4,68
01/2016;7,77 ;6,58 ;17,22 ;6,17 ;6,83 ;13,91 ;8,33 ;9,12 ;7,22 ;4,73
02/2016;7,79 ;6,61 ;17,35 ;6,24 ;6,90 ;13,92 ;8,35 ;9,14 ;7,21 ;4,77
03/2016;7,83 ;6,65 ;17,49 ;6,32 ;6,99 ;13,95 ;8,39 ;9,17 ;7,22 ;4,81
04/2016;7,86 ;6,68 ;17,63 ;6,40 ;7,08 ;13,96 ;8,41 ;9,19 ;7,22 ;4,85
05/2016;7,88 ;6,68 ;17,81 ;6,47 ;7,17 ;13,99 ;8,44 ;9,22 ;7,23 ;4,90
06/2016;7,89 ;6,69 ;18,00 ;6,56 ;7,27 ;14,01 ;8,48 ;9,25 ;7,25 ;4,95
07/2016;7,92 ;6,70 ;18,21 ;6,57 ;7,31 ;14,04 ;8,51 ;9,28 ;7,27 ;4,99
08/2016;7,95 ;6,72 ;18,21 ;6,62 ;7,34 ;14,06 ;8,55 ;9,31 ;7,31 ;5,01
09/2016;8,00 ;6,75 ;18,34 ;6,67 ;7,39 ;14,08 ;8,57 ;9,33 ;7,72 ;5,05
10/2016;8,04 ;6,76 ;18,48 ;6,71 ;7,44 ;14,09 ;8,61 ;9,37 ;7,81 ;5,12
11/2016;8,05 ;6,79 ;18,61 ;6,77 ;7,51 ;14,11 ;8,63 ;9,38 ;7,89 ;5,19
12/2016;8,09 ;6,84 ;18,69 ;6,87 ;7,61 ;14,13 ;8,67 ;9,41 ;7,95 ;5,28
01/2017;8,12 ;6,86 ;18,78 ;6,92 ;7,65 ;14,13 ;8,69 ;9,42 ;7,97 ;5,34
02/2017;8,15 ;6,88 ;18,76 ;6,97 ;7,69 ;14,14 ;8,69 ;9,41 ;7,95 ;5,39
03/2017;8,17 ;6,90 ;18,46 ;7,04 ;7,73 ;14,14 ;8,70 ;9,42 ;7,93 ;5,45
04/2017;8,21 ;6,93 ;18,18 ;7,10 ;7,78 ;14,14 ;8,70 ;9,41 ;7,91 ;5,50
05/2017;8,24 ;6,96 ;17,99 ;7,15 ;7,84 ;14,14 ;8,71 ;9,41 ;7,96 ;5,55
06/2017;8,27 ;6,97 ;17,43 ;7,22 ;7,90 ;14,14 ;8,71 ;9,40 ;8,10 ;5,62
07/2017;8,32 ;7,00 ;16,76 ;7,23 ;7,88 ;14,13 ;8,72 ;9,40 ;8,16 ;5,68
08/2017;8,35 ;7,03 ;16,04 ;7,24 ;7,84 ;14,09 ;8,70 ;9,37 ;8,23 ;5,72
09/2017;8,38 ;7,04 ;14,81 ;7,19 ;7,72 ;14,07 ;8,70 ;9,36 ;8,27 ;5,76
10/2017;8,40 ;7,06 ;14,31 ;7,19 ;7,68 ;14,07 ;8,70 ;9,35 ;8,13 ;5,81
11/2017;8,44 ;7,08 ;13,93 ;7,20 ;7,66 ;14,05 ;8,69 ;9,34 ;8,09 ;5,85
12/2017;8,51 ;7,09 ;13,59 ;7,20 ;7,68 ;14,02 ;8,68 ;9,32 ;8,01 ;5,88
01/2018;8,54 ;7,10 ;13,39 ;7,20 ;7,67 ;13,99 ;8,67 ;9,29 ;7,92 ;5,89
02/2018;8,56 ;7,11 ;13,28 ;7,20 ;7,66 ;13,96 ;8,66 ;9,28 ;7,99 ;5,90
03/2018;8,57 ;7,13 ;13,15 ;7,20 ;7,65 ;13,93 ;8,65 ;9,26 ;8,01 ;5,93
04/2018;8,59 ;7,14 ;13,00 ;7,20 ;7,66 ;13,88 ;8,64 ;9,24 ;7,97 ;5,95
05/2018;8,62 ;7,16 ;12,83 ;7,19 ;7,65 ;13,83 ;8,63 ;9,22 ;7,96 ;5,97
06/2018;8,63 ;7,18 ;12,65 ;7,18 ;7,63 ;13,78 ;8,62 ;9,20 ;7,92 ;6,00
07/2018;8,62 ;7,20 ;12,51 ;7,13 ;7,57 ;13,72 ;8,60 ;9,18 ;7,88 ;6,02
