Data;25357 - Indicador de Custo do Crédito - ICC - Recursos direcionados - Total - % a.a.;25358 - Indicador de Custo do Crédito - ICC - Recursos direcionados - Pessoas jurídicas - Total - % a.a.;25359 - Indicador de Custo do Crédito - ICC - Recursos direcionados - Pessoas físicas - Total - % a.a.;27688 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Crédito rural com taxas de mercado - % a.a.;27689 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Crédito rural com taxas reguladas - % a.a.;27690 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Crédito rural total - % a.a.;27691 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Financiamento imobiliário com taxas de mercado - % a.a.;27692 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Financiamento imobiliário com taxas reguladas - % a.a.;27693 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Financiamento imobiliário total - % a.a.;27694 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Capital de giro com recursos do BNDES - % a.a.
01/2013;8,72 ;9,13 ;8,12 ;10,67 ;6,05 ;8,45 ;11,06 ;11,34 ;11,25 ;9,78
02/2013;8,66 ;9,07 ;8,06 ;10,79 ;6,02 ;8,49 ;11,07 ;11,30 ;11,22 ;9,67
03/2013;8,56 ;8,94 ;7,99 ;10,87 ;6,01 ;8,49 ;11,04 ;11,26 ;11,18 ;9,39
04/2013;8,48 ;8,85 ;7,93 ;11,14 ;5,98 ;8,59 ;11,01 ;11,22 ;11,15 ;9,17
05/2013;8,37 ;8,72 ;7,87 ;11,26 ;5,95 ;8,61 ;10,99 ;11,19 ;11,12 ;8,97
06/2013;8,31 ;8,67 ;7,80 ;11,37 ;5,89 ;8,91 ;10,98 ;11,15 ;11,09 ;8,82
07/2013;8,27 ;8,61 ;7,78 ;11,56 ;5,87 ;9,04 ;10,97 ;11,11 ;11,06 ;8,78
08/2013;8,23 ;8,57 ;7,74 ;11,87 ;5,87 ;9,18 ;10,94 ;11,06 ;11,01 ;8,78
09/2013;8,18 ;8,52 ;7,71 ;11,73 ;5,84 ;9,14 ;10,99 ;11,00 ;11,00 ;8,72
10/2013;8,13 ;8,46 ;7,66 ;11,86 ;5,83 ;9,15 ;10,99 ;10,96 ;10,97 ;8,64
11/2013;8,10 ;8,42 ;7,65 ;12,01 ;5,82 ;9,26 ;10,99 ;10,93 ;10,95 ;8,62
12/2013;8,07 ;8,39 ;7,63 ;12,59 ;5,81 ;9,66 ;10,97 ;10,91 ;10,93 ;8,59
01/2014;8,05 ;8,35 ;7,64 ;12,65 ;5,79 ;9,69 ;10,97 ;10,87 ;10,91 ;8,62
02/2014;8,04 ;8,34 ;7,64 ;12,72 ;5,79 ;9,73 ;10,94 ;10,84 ;10,88 ;8,78
03/2014;8,03 ;8,32 ;7,65 ;12,83 ;5,78 ;9,81 ;10,89 ;10,87 ;10,88 ;8,78
04/2014;8,03 ;8,29 ;7,67 ;12,87 ;5,78 ;9,83 ;10,91 ;10,83 ;10,86 ;8,79
