Data;27718 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas físicas - Microcrédito - % a.a.
01/2013;13,02
02/2013;12,54
03/2013;12,42
04/2013;12,31
05/2013;12,23
06/2013;11,61
07/2013;11,18
08/2013;10,82
09/2013;10,46
10/2013;10,13
11/2013;9,88
12/2013;9,53
01/2014;9,48
02/2014;9,53
03/2014;9,75
04/2014;10,86
05/2014;11,85
06/2014;12,63
07/2014;13,12
08/2014;13,24
09/2014;13,44
10/2014;13,42
11/2014;13,56
12/2014;13,20
01/2015;13,85
02/2015;14,66
03/2015;16,11
04/2015;17,46
05/2015;18,59
06/2015;19,97
07/2015;21,52
08/2015;23,16
09/2015;24,30
10/2015;25,01
11/2015;25,79
12/2015;26,44
01/2016;26,73
02/2016;27,02
03/2016;27,27
04/2016;27,56
05/2016;27,81
06/2016;27,99
07/2016;28,48
08/2016;28,68
09/2016;28,67
10/2016;28,77
11/2016;28,83
12/2016;28,75
01/2017;28,80
02/2017;28,84
03/2017;29,01
04/2017;29,16
05/2017;29,31
06/2017;29,40
07/2017;29,01
08/2017;29,03
09/2017;29,17
10/2017;29,15
11/2017;28,98
12/2017;28,78
01/2018;28,78
02/2018;28,78
03/2018;28,79
04/2018;28,86
05/2018;28,80
06/2018;28,77
07/2018;28,84
08/2018;28,92
09/2018;30,21
10/2018;31,59
11/2018;32,75
12/2018;33,63
01/2019;34,13
02/2019;34,44
03/2019;34,62
04/2019;34,77
05/2019;34,78
06/2019;34,81
07/2019;34,73
08/2019;35,04
09/2019;35,10
10/2019;35,11
11/2019;34,81
12/2019;34,77
01/2020;34,95
02/2020;35,02
03/2020;35,07
04/2020;35,19
05/2020;35,00
06/2020;34,62
07/2020;34,26
08/2020;34,29
Fonte;BCB-DSTAT
