Data;27654 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Capital de giro rotativo - % a.a.;27655 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Capital de giro total - % a.a.;27656 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Conta garantida - % a.a.;27657 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Cheque especial - % a.a.;27658 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Aquisição de veículos - % a.a.;27659 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Aquisição de outros bens - % a.a.;27660 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Arrendamento mercantil de veículos - % a.a.;27661 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Arrendamento mercantil de outros bens - % a.a.;27662 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Vendor - % a.a.;27663 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Compror - % a.a.
01/2013;24,93 ;18,83 ;37,08 ;146,34 ;18,02 ;15,68 ;15,94 ;13,51 ;12,82 ;12,68
02/2013;24,92 ;18,57 ;37,03 ;147,23 ;17,92 ;15,42 ;15,87 ;13,46 ;12,71 ;12,98
03/2013;24,82 ;18,40 ;37,10 ;146,69 ;17,82 ;14,51 ;15,67 ;13,37 ;12,74 ;13,01
04/2013;24,68 ;18,24 ;37,72 ;145,48 ;17,68 ;15,02 ;15,55 ;13,30 ;12,90 ;13,10
05/2013;24,65 ;18,13 ;37,16 ;143,66 ;17,57 ;14,86 ;15,43 ;13,26 ;13,07 ;13,27
06/2013;24,60 ;18,07 ;36,87 ;144,18 ;17,52 ;14,86 ;15,36 ;13,26 ;13,37 ;13,44
07/2013;24,60 ;17,97 ;37,60 ;144,15 ;17,50 ;14,83 ;15,31 ;13,26 ;13,58 ;13,66
08/2013;24,56 ;17,98 ;37,81 ;147,34 ;17,56 ;14,90 ;15,28 ;13,31 ;13,93 ;13,94
09/2013;24,51 ;18,12 ;38,08 ;147,92 ;17,62 ;14,91 ;15,28 ;13,34 ;14,20 ;14,34
10/2013;24,57 ;18,18 ;38,32 ;147,47 ;17,65 ;14,87 ;15,26 ;13,35 ;14,48 ;14,70
11/2013;24,81 ;18,32 ;37,81 ;149,08 ;17,67 ;15,05 ;15,27 ;13,48 ;15,04 ;15,70
12/2013;25,07 ;18,43 ;37,46 ;148,77 ;17,72 ;15,20 ;15,30 ;13,54 ;15,13 ;16,10
01/2014;25,55 ;18,61 ;39,15 ;150,93 ;17,79 ;15,21 ;15,32 ;13,66 ;15,36 ;16,25
02/2014;26,26 ;18,80 ;38,99 ;154,09 ;17,93 ;15,19 ;15,36 ;13,72 ;15,62 ;16,50
03/2014;26,86 ;19,02 ;39,15 ;156,08 ;17,99 ;15,38 ;15,39 ;13,77 ;16,03 ;17,09
04/2014;27,42 ;19,20 ;40,03 ;156,31 ;18,06 ;15,23 ;15,46 ;13,87 ;16,47 ;17,40
05/2014;27,91 ;19,33 ;41,63 ;165,21 ;18,11 ;15,24 ;15,54 ;13,94 ;16,62 ;17,53
06/2014;28,14 ;19,54 ;40,80 ;168,70 ;18,17 ;15,57 ;15,58 ;13,97 ;16,48 ;17,75
