Data;27664 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Cartão de crédito rotativo - % a.a.;27665 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Cartão de crédito parcelado - % a.a.;27666 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Cartão de crédito total - % a.a.;27667 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Adiantamentos sobre contratos de câmbio (ACC) - % a.a.;27668 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Financiamento a importações - % a.a.;27669 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Financiamento a exportações - % a.a.;27670 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Repasse externo - % a.a.;27671 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito não rotativo - Total - % a.a.;27672 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Cheque especial - % a.a.;27673 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito não consignado - % a.a.
01/2013;220,12 ;81,80 ;32,41 ;3,51 ;9,86 ;11,60 ;11,63 ;35,02 ;122,40 ;70,89
02/2013;215,80 ;81,67 ;36,08 ;3,48 ;9,63 ;11,02 ;11,67 ;34,87 ;122,58 ;70,77
03/2013;220,04 ;84,06 ;27,74 ;3,45 ;9,51 ;11,19 ;11,71 ;34,72 ;122,09 ;70,48
04/2013;205,15 ;79,84 ;31,86 ;3,36 ;9,48 ;11,33 ;11,80 ;34,52 ;121,62 ;70,18
05/2013;202,84 ;80,60 ;28,92 ;3,19 ;9,75 ;11,50 ;12,15 ;34,32 ;121,13 ;69,94
06/2013;204,13 ;81,39 ;26,44 ;3,11 ;10,15 ;11,52 ;11,90 ;34,20 ;121,77 ;70,16
07/2013;205,94 ;79,38 ;30,57 ;3,08 ;10,43 ;11,54 ;11,87 ;34,17 ;121,96 ;70,96
08/2013;205,59 ;76,90 ;34,32 ;3,05 ;10,67 ;11,56 ;11,90 ;34,26 ;122,64 ;71,66
09/2013;210,22 ;61,31 ;37,65 ;3,04 ;10,66 ;11,63 ;11,67 ;34,32 ;125,51 ;72,47
10/2013;208,96 ;51,54 ;33,18 ;3,02 ;10,75 ;11,72 ;11,70 ;34,46 ;126,35 ;73,76
11/2013;215,05 ;58,94 ;36,59 ;3,02 ;10,90 ;11,80 ;11,84 ;34,54 ;127,46 ;74,76
12/2013;219,97 ;50,04 ;38,11 ;3,00 ;11,11 ;11,94 ;11,83 ;34,50 ;129,18 ;75,66
