Data;27674 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito pessoal não consignado vinculado à composição de dívidas - % a.a.;27675 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor privado - % a.a.;27676 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor público - % a.a.;27677 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito pessoal consignado para aposentados e pensionistas do INSS - % a.a.;27678 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito pessoal consignado total - % a.a.;27679 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito pessoal total - % a.a.;27680 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Aquisição de veículos - % a.a.;27681 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Aquisição de outros bens - % a.a.;27682 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Arrendamento mercantil de veículos - % a.a.;27683 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Arrendamento mercantil de outros bens - % a.a.
01/2013;44,03 ;33,33 ;24,19 ;29,50 ;26,57 ;39,53 ;23,62 ;71,57 ;17,90 ;16,20
02/2013;43,63 ;33,13 ;24,01 ;29,40 ;26,42 ;39,31 ;23,47 ;71,33 ;17,86 ;16,13
03/2013;43,25 ;32,92 ;23,86 ;29,27 ;26,26 ;39,06 ;23,24 ;71,04 ;17,64 ;16,13
04/2013;42,60 ;32,71 ;23,71 ;29,11 ;26,10 ;38,80 ;23,03 ;70,72 ;17,53 ;16,12
05/2013;41,89 ;32,50 ;23,55 ;28,97 ;25,94 ;38,53 ;22,83 ;70,23 ;17,41 ;16,09
06/2013;41,43 ;32,30 ;23,42 ;28,82 ;25,79 ;38,46 ;22,63 ;69,82 ;17,22 ;16,07
07/2013;41,27 ;32,13 ;23,32 ;28,67 ;25,66 ;38,46 ;22,45 ;69,45 ;17,06 ;16,08
08/2013;41,02 ;31,97 ;23,23 ;28,53 ;25,55 ;38,51 ;22,36 ;69,22 ;16,92 ;16,05
09/2013;40,75 ;31,82 ;23,11 ;28,42 ;25,43 ;38,65 ;22,29 ;69,12 ;16,75 ;15,70
10/2013;40,72 ;31,71 ;23,03 ;28,26 ;25,32 ;38,90 ;22,19 ;69,33 ;16,55 ;15,71
11/2013;40,53 ;31,60 ;22,96 ;28,08 ;25,20 ;39,06 ;22,11 ;69,58 ;16,37 ;15,98
12/2013;40,21 ;31,45 ;22,90 ;27,89 ;25,09 ;38,98 ;22,04 ;70,49 ;16,17 ;16,40
01/2014;40,18 ;31,44 ;22,88 ;27,71 ;25,03 ;39,25 ;22,06 ;70,86 ;16,03 ;16,40
02/2014;40,15 ;31,41 ;23,18 ;27,74 ;25,23 ;39,66 ;22,12 ;71,23 ;15,96 ;16,68
03/2014;40,13 ;31,46 ;23,19 ;27,73 ;25,24 ;39,90 ;22,16 ;71,63 ;15,94 ;16,44
04/2014;40,02 ;31,50 ;23,19 ;27,73 ;25,24 ;40,26 ;22,16 ;72,07 ;15,91 ;16,36
05/2014;39,98 ;31,61 ;23,21 ;27,74 ;25,26 ;40,50 ;22,18 ;72,61 ;15,86 ;16,48
06/2014;39,96 ;31,70 ;23,24 ;27,78 ;25,29 ;40,72 ;22,21 ;73,04 ;15,79 ;16,51
07/2014;39,84 ;31,78 ;23,26 ;27,75 ;25,30 ;40,87 ;22,24 ;73,47 ;15,73 ;16,52
08/2014;39,71 ;31,86 ;23,30 ;27,76 ;25,33 ;41,10 ;22,28 ;73,90 ;15,71 ;16,63
09/2014;39,58 ;31,98 ;23,34 ;27,77 ;25,37 ;41,29 ;22,29 ;74,50 ;15,71 ;16,65
10/2014;39,41 ;32,28 ;23,35 ;27,80 ;25,41 ;41,47 ;22,33 ;74,79 ;15,73 ;16,84
11/2014;39,13 ;32,49 ;23,43 ;27,83 ;25,49 ;41,66 ;22,34 ;75,20 ;15,75 ;16,87
12/2014;38,82 ;32,49 ;23,41 ;27,84 ;25,48 ;41,61 ;22,33 ;75,86 ;15,71 ;16,88
01/2015;39,27 ;32,71 ;23,46 ;27,88 ;25,54 ;41,98 ;22,40 ;76,23 ;15,66 ;16,94
02/2015;39,85 ;32,99 ;23,52 ;27,93 ;25,63 ;42,25 ;22,49 ;76,54 ;15,63 ;16,93
03/2015;40,36 ;33,32 ;23,58 ;27,98 ;25,72 ;42,51 ;22,59 ;76,90 ;15,71 ;16,95
04/2015;40,86 ;33,60 ;23,65 ;28,00 ;25,79 ;42,91 ;22,67 ;77,28 ;15,82 ;16,98
05/2015;41,36 ;33,86 ;23,75 ;28,03 ;25,88 ;43,26 ;22,76 ;77,69 ;15,94 ;16,76
06/2015;41,87 ;33,99 ;23,86 ;28,03 ;25,95 ;43,52 ;22,85 ;77,91 ;16,06 ;16,76
07/2015;42,30 ;34,43 ;23,97 ;28,03 ;26,06 ;43,79 ;22,93 ;78,31 ;16,21 ;16,78
08/2015;42,58 ;34,78 ;24,08 ;28,04 ;26,16 ;44,15 ;23,02 ;78,85 ;16,32 ;16,81
