Data;27674 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito pessoal não consignado vinculado à composição de dívidas - % a.a.;27684 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Cartão de crédito rotativo - % a.a.;27685 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Cartão de crédito parcelado - % a.a.;27686 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Cartão de crédito total - % a.a.;27687 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Desconto de cheques - % a.a.
01/2013;44,03 ;250,18 ;111,06 ;36,75 ;42,66
02/2013;43,63 ;254,45 ;110,58 ;40,55 ;43,22
03/2013;43,25 ;252,63 ;109,92 ;40,47 ;44,77
04/2013;42,60 ;254,85 ;108,56 ;39,56 ;45,91
05/2013;41,89 ;254,53 ;108,56 ;38,45 ;46,07
06/2013;41,43 ;255,35 ;108,60 ;39,80 ;45,74
07/2013;41,27 ;260,52 ;107,90 ;38,31 ;46,03
08/2013;41,02 ;260,74 ;107,79 ;38,42 ;46,25
09/2013;40,75 ;263,23 ;107,04 ;39,05 ;46,24
10/2013;40,72 ;267,23 ;106,59 ;37,78 ;46,55
11/2013;40,53 ;272,64 ;106,99 ;38,55 ;46,88
12/2013;40,21 ;285,95 ;106,76 ;35,41 ;48,21
01/2014;40,18 ;282,22 ;107,08 ;36,37 ;49,45
02/2014;40,15 ;292,85 ;107,11 ;41,16 ;50,87
03/2014;40,13 ;290,64 ;106,96 ;40,27 ;51,44
04/2014;40,02 ;277,44 ;106,86 ;40,42 ;52,58
05/2014;39,98 ;280,27 ;106,97 ;39,69 ;51,61
06/2014;39,96 ;286,08 ;107,02 ;41,64 ;50,40
07/2014;39,84 ;285,81 ;106,97 ;40,23 ;50,39
08/2014;39,71 ;293,26 ;107,44 ;40,92 ;50,52
09/2014;39,58 ;284,51 ;107,59 ;40,29 ;50,35
10/2014;39,41 ;300,66 ;107,62 ;40,82 ;50,45
11/2014;39,13 ;312,83 ;107,73 ;41,97 ;50,64
12/2014;38,82 ;320,55 ;107,34 ;37,72 ;51,96
01/2015;39,27 ;326,74 ;107,46 ;39,72 ;52,86
02/2015;39,85 ;333,69 ;108,08 ;44,86 ;54,38
03/2015;40,36 ;335,58 ;108,54 ;43,48 ;56,56
04/2015;40,86 ;335,99 ;109,08 ;45,34 ;57,52
05/2015;41,36 ;355,11 ;109,66 ;47,05 ;57,63
06/2015;41,87 ;376,25 ;110,36 ;47,94 ;56,88
07/2015;42,30 ;398,09 ;111,15 ;48,92 ;56,00
08/2015;42,58 ;401,41 ;112,74 ;49,60 ;55,93
09/2015;42,88 ;414,97 ;113,99 ;52,27 ;55,41
10/2015;43,50 ;399,97 ;115,17 ;51,97 ;55,06
11/2015;44,03 ;422,49 ;116,40 ;53,71 ;54,38
12/2015;44,33 ;430,83 ;117,92 ;49,58 ;54,71
01/2016;44,54 ;447,78 ;119,89 ;53,96 ;55,84
02/2016;45,13 ;454,30 ;121,49 ;57,57 ;57,38
03/2016;45,84 ;457,87 ;123,04 ;57,14 ;58,49
04/2016;46,60 ;463,14 ;124,71 ;59,90 ;59,01
05/2016;47,47 ;474,71 ;125,79 ;59,41 ;58,91
06/2016;48,31 ;470,62 ;127,71 ;60,01 ;59,14
07/2016;48,91 ;469,76 ;128,92 ;59,94 ;59,62
08/2016;49,30 ;482,74 ;129,90 ;59,27 ;59,75
09/2016;49,74 ;491,25 ;131,21 ;61,32 ;59,76
10/2016;50,36 ;483,97 ;132,56 ;60,01 ;59,97
