Data;25351 - Indicador de Custo do Crédito - ICC - Total - % a.a.;25352 - Indicador de Custo do Crédito - ICC - Pessoas jurídicas - Total - % a.a.;25353 - Indicador de Custo do Crédito - ICC - Pessoas físicas - Total - % a.a.;27645 - Indicador de Custo do Crédito - ICC - Crédito não rotativo - Total - % a.a.;27646 - Indicador de Custo do Crédito - ICC - Pessoas jurídicas - Crédito não rotativo - Total - % a.a.;27647 - Indicador de Custo do Crédito - ICC - Pessoas físicas - Crédito não rotativo - Total - % a.a.
01/2013;19,94 ;15,22 ;25,70 ;17,58 ;13,37 ;23,18
02/2013;19,98 ;15,12 ;25,93 ;17,42 ;13,21 ;23,01
03/2013;19,73 ;14,99 ;25,62 ;17,26 ;13,15 ;22,76
04/2013;19,56 ;14,85 ;25,35 ;17,09 ;13,01 ;22,51
05/2013;19,29 ;14,63 ;24,99 ;16,90 ;12,86 ;22,26
06/2013;19,15 ;14,55 ;24,80 ;16,77 ;12,83 ;22,00
07/2013;19,04 ;14,44 ;24,62 ;16,67 ;12,70 ;21,90
08/2013;18,97 ;14,42 ;24,48 ;16,61 ;12,66 ;21,78
09/2013;19,07 ;14,55 ;24,53 ;16,62 ;12,74 ;21,68
10/2013;19,02 ;14,51 ;24,41 ;16,63 ;12,74 ;21,66
11/2013;19,02 ;14,58 ;24,35 ;16,61 ;12,80 ;21,57
12/2013;18,72 ;14,49 ;23,84 ;16,49 ;12,83 ;21,33
01/2014;18,87 ;14,50 ;24,08 ;16,47 ;12,70 ;21,36
02/2014;19,18 ;14,63 ;24,59 ;16,56 ;12,77 ;21,44
03/2014;19,19 ;14,64 ;24,61 ;16,58 ;12,82 ;21,44
04/2014;19,24 ;14,67 ;24,66 ;16,60 ;12,81 ;21,47
05/2014;19,27 ;14,73 ;24,62 ;16,63 ;12,84 ;21,47
06/2014;19,42 ;14,82 ;24,83 ;16,64 ;12,88 ;21,43
07/2014;19,29 ;14,67 ;24,67 ;16,65 ;12,82 ;21,47
08/2014;19,31 ;14,70 ;24,68 ;16,67 ;12,86 ;21,46
09/2014;19,29 ;14,67 ;24,70 ;16,63 ;12,84 ;21,44
10/2014;19,32 ;14,64 ;24,76 ;16,64 ;12,84 ;21,42
11/2014;19,36 ;14,76 ;24,76 ;16,65 ;12,92 ;21,37
12/2014;19,12 ;14,76 ;24,24 ;16,61 ;13,01 ;21,20
01/2015;19,42 ;14,87 ;24,68 ;16,62 ;12,92 ;21,28
02/2015;19,76 ;15,02 ;25,26 ;16,71 ;12,98 ;21,39
03/2015;19,80 ;15,13 ;25,27 ;16,79 ;13,07 ;21,50
04/2015;20,04 ;15,28 ;25,55 ;16,90 ;13,13 ;21,60
05/2015;20,18 ;15,29 ;25,85 ;16,98 ;13,19 ;21,73
06/2015;20,42 ;15,51 ;26,13 ;17,13 ;13,37 ;21,85
07/2015;20,51 ;15,48 ;26,36 ;17,20 ;13,36 ;22,02
08/2015;20,68 ;15,58 ;26,60 ;17,29 ;13,42 ;22,14
09/2015;20,92 ;15,76 ;26,98 ;17,41 ;13,58 ;22,27
10/2015;21,15 ;15,96 ;27,18 ;17,54 ;13,68 ;22,39
11/2015;21,43 ;16,16 ;27,54 ;17,66 ;13,83 ;22,48
12/2015;21,15 ;16,14 ;27,02 ;17,75 ;14,05 ;22,48
01/2016;21,52 ;16,24 ;27,62 ;17,77 ;13,94 ;22,59
02/2016;21,87 ;16,40 ;28,13 ;17,90 ;14,04 ;22,68
