Data;1788 - BM - Base monetária restrita (saldo em final de período) - u.m.c. (mil)
01/1946;22.900.000
02/1946;23.600.000
03/1946;23.900.000
04/1946;23.700.000
05/1946;24.200.000
06/1946;24.900.000
07/1946;25.500.000
08/1946;25.700.000
09/1946;25.700.000
10/1946;25.600.000
11/1946;25.300.000
12/1946;25.700.000
01/1947;25.900.000
02/1947;25.900.000
03/1947;25.600.000
04/1947;25.200.000
05/1947;25.200.000
06/1947;25.300.000
07/1947;25.700.000
08/1947;25.600.000
09/1947;25.100.000
10/1947;24.700.000
11/1947;24.900.000
12/1947;25.400.000
01/1948;25.800.000
02/1948;25.900.000
03/1948;25.800.000
04/1948;25.800.000
05/1948;25.500.000
06/1948;25.100.000
07/1948;25.100.000
08/1948;25.300.000
09/1948;25.300.000
10/1948;25.200.000
11/1948;25.800.000
12/1948;27.400.000
01/1949;27.400.000
02/1949;27.300.000
03/1949;27.300.000
04/1949;27.300.000
05/1949;27.100.000
06/1949;27.200.000
07/1949;27.300.000
08/1949;27.600.000
09/1949;27.500.000
10/1949;27.600.000
11/1949;28.200.000
12/1949;29.300.000
01/1950;30.600.000
02/1950;30.900.000
03/1950;31.500.000
04/1950;31.300.000
05/1950;31.700.000
06/1950;32.500.000
07/1950;33.200.000
08/1950;34.500.000
09/1950;35.700.000
10/1950;36.400.000
11/1950;36.900.000
12/1950;39.100.000
01/1951;39.100.000
02/1951;38.900.000
03/1951;38.900.000
04/1951;38.600.000
05/1951;39.800.000
06/1951;40.000.000
07/1951;40.000.000
08/1951;40.600.000
09/1951;41.300.000
10/1951;41.300.000
11/1951;42.300.000
12/1951;43.700.000
01/1952;42.100.000
02/1952;41.800.000
03/1952;41.500.000
04/1952;42.100.000
05/1952;42.300.000
06/1952;43.200.000
07/1952;44.500.000
08/1952;45.300.000
09/1952;46.000.000
10/1952;46.500.000
11/1952;48.000.000
12/1952;51.400.000
01/1953;51.000.000
02/1953;50.500.000
03/1953;51.200.000
04/1953;52.100.000
05/1953;53.900.000
06/1953;54.500.000
07/1953;53.400.000
08/1953;53.500.000
09/1953;54.700.000
10/1953;56.200.000
11/1953;57.700.000
12/1953;60.900.000
01/1954;55.500.000
02/1954;60.400.000
03/1954;60.500.000
04/1954;60.700.000
05/1954;60.100.000
06/1954;60.400.000
07/1954;61.900.000
08/1954;65.400.000
09/1954;67.300.000
10/1954;68.300.000
11/1954;69.900.000
12/1954;74.000.000
01/1955;72.000.000
02/1955;71.800.000
03/1955;72.500.000
04/1955;73.200.000
05/1955;76.200.000
06/1955;75.900.000
07/1955;75.800.000
08/1955;77.300.000
09/1955;79.400.000
10/1955;81.000.000
11/1955;83.700.000
12/1955;87.800.000
01/1956;85.400.000
02/1956;84.800.000
03/1956;85.200.000
04/1956;87.400.000
05/1956;89.600.000
06/1956;90.700.000
07/1956;91.600.000
08/1956;91.700.000
09/1956;91.500.000
10/1956;93.600.000
11/1956;95.600.000
12/1956;103.000.000
01/1957;100.800.000
02/1957;100.600.000
03/1957;102.900.000
04/1957;103.300.000
05/1957;104.400.000
06/1957;104.700.000
07/1957;105.500.000
08/1957;108.000.000
09/1957;113.100.000
10/1957;116.100.000
11/1957;124.900.000
12/1957;137.600.000
01/1958;128.700.000
02/1958;130.600.000
03/1958;130.700.000
04/1958;133.800.000
05/1958;136.100.000
06/1958;137.100.000
07/1958;139.000.000
08/1958;141.300.000
09/1958;145.400.000
10/1958;148.300.000
11/1958;154.800.000
12/1958;161.900.000
01/1959;157.800.000
02/1959;156.500.000
03/1959;162.200.000
04/1959;165.400.000
05/1959;168.300.000
06/1959;169.200.000
07/1959;177.000.000
08/1959;183.500.000
09/1959;190.700.000
10/1959;199.100.000
11/1959;206.000.000
12/1959;222.900.000
01/1960;223.700.000
02/1960;224.300.000
03/1960;225.300.000
04/1960;223.400.000
05/1960;227.100.000
06/1960;227.800.000
07/1960;230.700.000
08/1960;238.500.000
09/1960;251.300.000
10/1960;262.800.000
11/1960;278.600.000
12/1960;301.500.000
01/1961;306.900.000
02/1961;312.400.000
03/1961;319.200.000
04/1961;316.400.000
05/1961;318.100.000
06/1961;321.200.000
07/1961;319.900.000
08/1961;350.300.000
09/1961;389.100.000
10/1961;392.900.000
11/1961;411.200.000
12/1961;454.100.000
01/1962;442.500.000
02/1962;439.300.000
03/1962;452.800.000
04/1962;461.800.000
05/1962;477.000.000
06/1962;491.900.000
07/1962;547.600.000
08/1962;560.500.000
09/1962;595.700.000
10/1962;619.300.000
11/1962;637.300.000
12/1962;770.600.000
01/1963;771.000.000
02/1963;790.500.000
03/1963;792.000.000
04/1963;794.400.000
05/1963;822.500.000
06/1963;861.500.000
07/1963;879.600.000
08/1963;920.300.000
09/1963;1.042.200.000
10/1963;1.107.500.000
11/1963;1.159.300.000
12/1963;1.368.700.000
01/1964;1.354.000.000
02/1964;1.390.000.000
03/1964;1.453.800.000
04/1964;1.535.400.000
05/1964;1.569.500.000
06/1964;1.654.800.000
07/1964;1.753.800.000
08/1964;1.935.600.000
09/1964;1.915.500.000
10/1964;1.959.000.000
11/1964;2.045.000.000
12/1964;2.312.700.000
01/1965;2.254.700.000
02/1965;2.230.600.000
03/1965;2.459.100.000
04/1965;2.489.000.000
05/1965;2.677.400.000
06/1965;2.784.900.000
07/1965;2.927.300.000
08/1965;3.079.000.000
09/1965;3.226.000.000
10/1965;3.443.500.000
11/1965;3.479.400.000
12/1965;3.844.000.000
01/1966;3.831.100.000
02/1966;3.768.100.000
03/1966;3.733.500.000
04/1966;3.777.100.000
05/1966;3.906.700.000
06/1966;3.942.500.000
07/1966;3.948.200.000
08/1966;4.013.400.000
09/1966;4.150.000.000
10/1966;4.197.300.000
11/1966;4.346.100.000
12/1966;4.761.100.000
01/1967;4.630.500.000
02/1967;4.844.600
03/1967;5.145.000
04/1967;4.979.100
05/1967;5.066.000
06/1967;5.188.500
07/1967;5.281.600
08/1967;5.246.000
09/1967;5.550.300
10/1967;5.511.800
11/1967;5.756.300
12/1967;6.095.400
01/1968;6.167.900
02/1968;6.311.300
03/1968;6.674.500
04/1968;6.787.200
05/1968;6.856.100
06/1968;7.139.200
07/1968;7.012.800
08/1968;7.019.200
09/1968;7.146.800
10/1968;7.112.600
11/1968;7.614.700
12/1968;8.619.100
01/1969;7.935.800
02/1969;8.260.100
03/1969;8.188.900
04/1969;8.371.200
05/1969;8.490.600
06/1969;8.455.000
07/1969;8.370.100
08/1969;8.400.000
09/1969;8.436.200
10/1969;8.850.300
11/1969;9.200.600
12/1969;10.639.200
01/1970;9.866.000
02/1970;9.773.000
03/1970;9.471.000
04/1970;9.594.000
05/1970;9.927.000
06/1970;10.391.000
