Data;1833 - Base Monetária Ampliada (saldo em final de período) - u.m.c. (mil)
07/1994;73.257.983
08/1994;75.908.524
09/1994;77.534.126
10/1994;79.294.723
11/1994;80.179.971
12/1994;80.733.837
01/1995;80.362.898
02/1995;81.448.640
03/1995;80.182.148
04/1995;79.298.549
05/1995;81.912.022
06/1995;82.385.098
07/1995;95.930.319
08/1995;105.729.269
09/1995;106.599.065
10/1995;110.527.504
11/1995;117.236.017
12/1995;122.290.591
01/1996;129.288.703
02/1996;134.166.151
03/1996;137.652.537
04/1996;140.362.636
05/1996;154.240.648
06/1996;157.431.685
07/1996;161.229.145
08/1996;162.696.504
09/1996;165.105.304
10/1996;168.394.832
11/1996;177.545.464
12/1996;184.049.697
01/1997;186.151.941
02/1997;187.970.377
03/1997;194.176.340
04/1997;195.465.306
05/1997;200.917.103
06/1997;203.227.145
07/1997;207.600.769
08/1997;212.252.701
09/1997;223.991.091
10/1997;220.885.409
11/1997;219.841.423
12/1997;280.070.332
01/1998;284.954.327
02/1998;294.237.028
03/1998;310.723.079
04/1998;315.875.275
05/1998;319.194.191
06/1998;340.000.147
07/1998;344.324.867
08/1998;341.816.822
09/1998;322.226.091
10/1998;329.872.436
11/1998;350.965.748
12/1998;352.345.378
01/1999;388.339.374
02/1999;401.758.112
03/1999;388.041.284
04/1999;385.585.614
05/1999;396.540.992
06/1999;400.754.584
07/1999;406.921.443
08/1999;412.802.441
09/1999;414.873.589
10/1999;424.308.684
11/1999;428.009.401
12/1999;447.132.157
01/2000;459.687.638
02/2000;466.098.442
03/2000;469.498.507
04/2000;476.458.874
05/2000;495.552.831
06/2000;501.909.217
07/2000;509.253.164
08/2000;514.725.151
09/2000;521.260.173
10/2000;532.454.134
11/2000;534.526.930
12/2000;538.693.251
01/2001;550.900.890
02/2001;556.802.220
03/2001;565.271.800
04/2001;568.064.742
05/2001;576.214.784
06/2001;593.815.083
07/2001;630.565.163
08/2001;638.087.146
09/2001;646.223.040
10/2001;654.117.975
11/2001;643.326.297
12/2001;646.671.997
01/2002;662.983.858
02/2002;661.879.223
03/2002;666.378.702
04/2002;675.433.596
05/2002;688.724.188
06/2002;715.391.546
07/2002;742.998.527
08/2002;718.834.471
09/2002;772.667.701
10/2002;775.428.131
11/2002;779.852.939
12/2002;788.034.272
01/2003;815.985.257
02/2003;813.446.433
03/2003;810.209.455
04/2003;788.601.788
05/2003;797.350.594
06/2003;804.490.941
07/2003;825.918.206
08/2003;836.086.020
09/2003;847.299.109
10/2003;853.375.438
11/2003;869.016.367
12/2003;886.894.136
01/2004;908.470.768
02/2004;910.172.993
03/2004;916.848.628
04/2004;919.830.983
05/2004;929.457.452
06/2004;936.306.270
07/2004;944.013.908
08/2004;946.295.563
09/2004;950.388.261
10/2004;957.551.482
11/2004;963.894.140
12/2004;979.232.641
01/2005;1.000.476.258
02/2005;1.013.322.881
03/2005;1.032.176.441
04/2005;1.032.254.975
05/2005;1.040.007.165
06/2005;1.053.449.725
07/2005;1.070.921.944
08/2005;1.083.851.842
09/2005;1.096.063.880
10/2005;1.113.987.962
11/2005;1.128.453.279
12/2005;1.154.051.235
01/2006;1.184.201.540
02/2006;1.195.729.739
03/2006;1.207.808.299
04/2006;1.217.532.527
05/2006;1.228.086.114
06/2006;1.237.347.877
07/2006;1.259.365.604
08/2006;1.272.712.904
09/2006;1.290.804.553
10/2006;1.307.086.933
11/2006;1.319.005.008
12/2006;1.336.845.001
01/2007;1.360.641.597
02/2007;1.387.365.740
03/2007;1.419.765.704
04/2007;1.446.759.238
05/2007;1.486.353.652
06/2007;1.517.380.131
07/2007;1.545.450.081
08/2007;1.558.519.378
09/2007;1.571.460.059
10/2007;1.584.837.586
11/2007;1.604.003.477
12/2007;1.616.617.867
01/2008;1.649.004.119
02/2008;1.655.142.185
03/2008;1.673.663.813
04/2008;1.684.429.915
05/2008;1.693.623.742
06/2008;1.713.669.112
07/2008;1.740.766.191
08/2008;1.746.455.158
09/2008;1.760.132.524
10/2008;1.754.543.845
11/2008;1.744.788.634
12/2008;1.768.289.010
01/2009;1.792.903.342
02/2009;1.801.734.779
03/2009;1.824.943.418
04/2009;1.830.551.389
05/2009;1.844.543.204
06/2009;1.899.305.177
07/2009;1.947.730.655
08/2009;1.991.717.884
