Data;1786 - BM - Papel moeda emitido (saldo em final de período) - u.m.c. (mil);1787 - BM - Reservas bancárias (saldo em final de período) - u.m.c. (mil);1828 - Base monetária ampliada - Depósitos compulsórios em espécie (saldo em final de período) - u.m.c. (mil);7535 - Base monetária ampliada - Títulos públicos federais-total (saldo em final de período) - u.m.c. (mil)
01/1980;161.309.000 ;178.515.000 ;-;-
02/1980;169.309.000 ;154.630.000 ;-;-
03/1980;173.809.000 ;164.124.000 ;-;-
04/1980;179.809.000 ;185.150.000 ;-;-
05/1980;187.309.000 ;185.429.000 ;-;-
06/1980;200.809.000 ;215.427.000 ;-;-
07/1980;209.809.000 ;230.081.000 ;-;-
08/1980;220.309.000 ;226.306.000 ;-;-
09/1980;224.309.000 ;234.866.000 ;-;-
10/1980;242.309.000 ;226.208.000 ;-;-
11/1980;267.309.000 ;245.253.000 ;-;-
12/1980;326.309.000 ;254.044.000 ;-;-
01/1981;296.309.000 ;283.982.000 ;-;-
02/1981;320.309.000 ;253.712.000 ;-;-
03/1981;285.309.000 ;288.422.000 ;-;-
04/1981;317.309.000 ;248.492.000 ;-;-
05/1981;325.309.000 ;272.539.000 ;-;-
06/1981;328.309.000 ;317.884.000 ;-;-
07/1981;367.309.000 ;321.791.000 ;-;-
08/1981;380.309.000 ;334.026.000 ;-;-
09/1981;392.309.000 ;347.675.000 ;-;-
10/1981;435.309.000 ;332.375.000 ;-;-
11/1981;471.309.000 ;390.963.000 ;-;-
12/1981;577.309.000 ;393.226.000 ;-;-
01/1982;572.000.000 ;498.000.000 ;-;-
02/1982;584.000.000 ;451.000.000 ;-;-
03/1982;569.000.000 ;520.000.000 ;-;-
04/1982;588.000.000 ;462.000.000 ;-;-
05/1982;589.000.000 ;532.000.000 ;-;-
06/1982;680.000.000 ;540.000.000 ;-;-
07/1982;718.000.000 ;580.000.000 ;-;-
08/1982;726.000.000 ;608.000.000 ;-;-
09/1982;772.000.000 ;584.000.000 ;-;-
10/1982;791.000.000 ;670.000.000 ;-;-
11/1982;952.000.000 ;754.000.000 ;-;-
12/1982;1.112.000.000 ;832.000.000 ;-;-
01/1983;1.102.000.000 ;957.000.000 ;-;-
02/1983;1.112.000.000 ;1.051.000.000 ;-;-
03/1983;1.087.000.000 ;985.000.000 ;-;-
04/1983;1.217.000.000 ;957.000.000 ;-;-
