Data;Papel Moeda em poder do pœblico;Dep—sitos ˆ Vista;Meios de pagamento - M1
Dec-01;32.584.045;52.735.716;85.319.761
Jan-02;27.239.411;49.052.110;76.291.521
Feb-02;26.732.167;48.947.550;75.679.717
Mar-02;27.191.413;47.804.589;74.996.003
Apr-02;26.006.602;50.621.914;76.628.516
May-02;26.996.297;48.677.872;75.674.168
Jun-02;28.281.540;53.466.496;81.748.036
Jul-02;28.880.966;56.163.685;85.044.651
Aug-02;30.785.260;57.122.287;87.907.547
Sep-02;31.449.398;59.285.035;90.734.433
Oct-02;33.073.425;58.399.744;91.473.169
Nov-02;34.709.343;59.888.618;94.597.962
Dec-02;42.281.023;68.053.220;110.334.243
Jan-03;36.950.119;58.027.664;94.977.783
Feb-03;36.187.874;57.415.063;93.602.937
Mar-03;33.135.343;56.687.240;89.822.584
Apr-03;32.455.460;54.955.139;87.410.599
May-03;32.518.855;53.712.908;86.231.763
Jun-03;31.923.287;56.543.028;88.466.315
Jul-03;32.442.835;54.607.293;87.050.128
Aug-03;33.249.694;54.069.043;87.318.737
Sep-03;32.474.440;55.976.215;88.450.654
Oct-03;33.326.398;55.206.881;88.533.279
Nov-03;35.229.376;60.000.748;95.230.124
Dec-03;42.992.662;69.773.208;112.765.870
Jan-04;38.282.671;62.924.185;101.206.857
Feb-04;37.618.176;65.239.476;102.857.652
Mar-04;36.125.291;65.156.928;101.282.219
Apr-04;36.863.148;64.958.452;101.821.601
May-04;37.234.567;65.839.915;103.074.482
Jun-04;37.829.098;66.353.551;104.182.650
Jul-04;39.488.556;65.368.248;104.856.804
Aug-04;39.046.661;68.370.508;107.417.168
Sep-04;40.367.978;71.352.499;111.720.476
Oct-04;41.498.381;70.104.053;111.602.434
Nov-04;42.094.944;73.045.476;115.140.420
Dec-04;51.942.749;77.716.947;129.659.697
Jan-05;45.276.520;75.218.161;120.494.681
Feb-05;43.828.891;75.698.564;119.527.456
Mar-05;42.784.832;75.776.042;118.560.874
Apr-05;43.102.057;72.395.984;115.498.041
May-05;42.443.495;75.113.374;117.556.869
Jun-05;43.504.601;75.288.887;118.793.487
Jul-05;44.870.424;73.692.328;118.562.751
Aug-05;44.150.933;74.610.871;118.761.803
Sep-05;45.680.939;78.288.945;123.969.884
Oct-05;45.137.713;76.449.964;121.587.677
Nov-05;47.137.388;81.279.829;128.417.217
Dec-05;58.179.315;88.565.816;146.745.131
Jan-06;49.904.427;81.960.310;131.864.737
Feb-06;51.178.720;81.915.411;133.094.132
Mar-06;48.628.660;82.149.357;130.778.017
Apr-06;48.993.331;80.547.724;129.541.055
May-06;48.562.760;84.400.264;132.963.024
Jun-06;50.652.361;83.593.603;134.245.964
Jul-06;51.242.097;84.529.383;135.771.480
Aug-06;52.054.839;86.598.257;138.653.095
Sep-06;56.057.682;89.541.543;145.599.225
Oct-06;55.079.075;92.472.265;147.551.340
Nov-06;57.494.944;96.945.902;154.440.846
Dec-06;68.810.851;108.078.762;176.889.613
Jan-07;59.945.896;98.241.034;158.186.929
Feb-07;58.655.943;97.676.339;156.332.282
Mar-07;58.994.611;99.404.163;158.398.773
Apr-07;58.592.917;100.718.056;159.310.973
May-07;59.215.195;101.610.122;160.825.317
Jun-07;61.275.981;105.868.554;167.144.535
Jul-07;61.182.567;108.686.777;169.869.344
Aug-07;63.107.254;110.373.399;173.480.653
Sep-07;66.158.600;112.221.174;178.379.774
Oct-07;65.378.078;116.202.772;181.580.850
Nov-07;69.336.167;121.973.280;191.309.446
Dec-07;82.095.431;152.979.688;235.075.119
Jan-08;73.038.131;120.700.544;193.738.675
Feb-08;71.433.164;116.264.488;187.697.652
Mar-08;70.084.180;117.618.217;187.702.397
Apr-08;70.955.716;120.003.337;190.959.053
May-08;72.029.267;115.492.925;187.522.192
Jun-08;72.744.870;117.807.002;190.551.872
Jul-08;73.905.889;116.080.696;189.986.585
Aug-08;76.082.990;114.912.688;190.995.678
Sep-08;77.450.507;121.931.736;199.382.244
Oct-08;78.939.071;114.710.960;193.650.031
Nov-08;81.964.552;119.894.037;201.858.589
Dec-08;92.181.718;134.985.099;227.166.817
Jan-09;82.862.993;116.952.314;199.815.307
Feb-09;81.203.008;116.876.546;198.079.554
Mar-09;78.847.370;117.318.742;196.166.112
Apr-09;80.753.429;117.597.123;198.350.552
May-09;81.500.292;118.154.447;199.654.739
Jun-09;81.542.120;124.949.831;206.491.951
Jul-09;83.668.460;118.838.033;202.506.493
Aug-09;84.541.996;122.298.409;206.840.405
Sep-09;85.769.234;128.696.321;214.465.555
Oct-09;88.764.034;125.764.653;214.528.687
Nov-09;92.502.123;132.771.238;225.273.361
Dec-09;105.573.929;149.140.190;254.714.119
Jan-10;96.458.008;135.496.822;231.954.830
Feb-10;95.549.619;133.990.063;229.539.682
Mar-10;94.575.451;139.746.208;234.321.660
Apr-10;95.104.206;138.583.896;233.688.103
May-10;95.036.580;141.194.428;236.231.009
Jun-10;95.800.804;144.262.764;240.063.569
Jul-10;98.736.209;142.448.893;241.185.103
Aug-10;100.075.605;148.020.454;248.096.060
Sep-10;103.808.803;150.821.245;254.630.048
Oct-10;104.813.221;150.789.085;255.602.306
Nov-10;107.519.070;157.534.763;265.053.833
Dec-10;121.706.380;166.032.777;287.739.157
Jan-11;109.180.112;154.131.680;263.311.792
Feb-11;106.944.772;153.399.980;260.344.752
Mar-11;105.471.446;152.946.557;258.418.003
Apr-11;105.758.926;149.122.567;254.881.493
May-11;104.751.911;151.393.660;256.145.571
Jun-11;106.135.493;154.364.464;260.499.957
Jul-11;108.442.845;150.832.033;259.274.878
Aug-11;108.222.859;146.827.417;255.050.276
Sep-11;112.364.900;150.158.812;262.523.711
Oct-11;112.413.134;147.891.957;260.305.090
Nov-11;116.232.959;152.457.744;268.690.702
Dec-11;131.375.615;160.792.831;292.168.445
Jan-12;118.163.021;148.461.917;266.624.937
Feb-12;116.524.975;147.175.679;263.700.653
Mar-12;116.998.568;148.173.897;265.172.466
Apr-12;116.360.833;150.133.418;266.494.252
May-12;117.391.087;149.788.445;267.179.533
Jun-12;120.691.223;152.913.772;273.604.994
Jul-12;121.307.638;152.516.010;273.823.647
Aug-12;125.020.953;150.475.668;275.496.620
Sep-12;128.434.260;155.189.755;283.624.015
Oct-12;126.915.309;154.978.708;281.894.017
Nov-12;133.496.640;163.382.994;296.879.634
Dec-12;149.638.726;183.846.901;333.485.628
Jan-13;133.237.620;162.718.149;295.955.770
Feb-13;131.237.482;164.228.182;295.465.665
Mar-13;133.353.634;169.180.350;302.533.983
Apr-13;130.626.544;166.393.966;297.020.509
May-13;133.657.251;169.194.913;302.852.163
Jun-13;134.955.444;175.804.388;310.759.832
Jul-13;135.350.614;169.590.819;304.941.433
Aug-13;138.957.075;169.254.733;308.211.808
Sep-13;140.713.932;171.086.110;311.800.042
Oct-13;140.822.497;167.540.939;308.363.436
Nov-13;147.994.979;177.403.957;325.398.936
Dec-13;163.879.089;190.771.859;354.650.948
Jan-14;149.973.789;173.300.906;323.274.695
Feb-14;151.218.362;175.170.967;326.389.329
Mar-14;146.575.525;174.460.885;321.036.411
Apr-14;145.412.910;174.919.967;320.332.877
May-14;146.283.564;168.512.887;314.796.451
Jun-14;147.571.632;169.699.057;317.270.689
Jul-14;148.429.400;165.291.106;313.720.506
Aug-14;151.792.352;166.100.565;317.892.917
Sep-14;155.524.579;170.413.242;325.937.821
Oct-14;157.290.347;167.492.124;324.782.470
Nov-14;162.762.344;175.547.059;338.309.402
Dec-14;178.251.606;185.109.929;363.361.535
Jan-15;162.568.095;170.885.983;333.454.078
Feb-15;161.992.735;168.715.875;330.708.611
Mar-15;161.628.667;166.300.293;327.928.960
Apr-15;160.208.092;159.236.641;319.444.733
May-15;159.713.114;158.728.623;318.441.737
Jun-15;158.752.497;159.866.795;318.619.292
Jul-15;160.948.154;151.094.978;312.043.132
Aug-15;158.744.305;151.353.295;310.097.600
Sep-15;159.475.550;149.465.996;308.941.546
Oct-15;165.411.401;146.448.053;311.859.455
Nov-15;168.742.696;155.124.287;323.866.983
Dec-15;185.280.417;161.940.172;347.220.589
Jan-16;171.047.425;150.475.360;321.522.785
Feb-16;167.812.051;151.449.785;319.261.836
Mar-16;165.467.548;148.210.093;313.677.641
Apr-16;166.404.931;150.235.933;316.640.864
May-16;164.768.800;149.595.843;314.364.643
Jun-16;165.291.611;150.166.522;315.458.133
Jul-16;166.709.749;147.268.307;313.978.056
Aug-16;165.551.959;147.823.688;313.375.647
Sep-16;171.980.674;151.306.402;323.287.076
Oct-16;168.861.921;154.121.852;322.983.773
Nov-16;173.840.340;158.865.851;332.706.192
Dec-16;191.973.469;171.055.078;363.028.546
Jan-17;174.445.554;151.990.251;326.435.805
Feb-17;176.310.064;157.535.566;333.845.630
Mar-17;172.723.627;152.547.049;325.270.676
Apr-17;172.972.070;154.598.729;327.570.800
May-17;171.805.084;154.731.915;326.537.000
Jun-17;176.529.399;157.053.070;333.582.469
Jul-17;176.190.151;157.343.278;333.533.428
Aug-17;175.511.748;154.505.115;330.016.863
Sep-17;178.674.701;156.549.485;335.224.186
Oct-17;177.180.596;156.944.793;334.125.389
Nov-17;183.392.581;165.505.188;348.897.769
Dec-17;203.909.637;179.929.926;383.839.562
Jan-18;186.287.413;161.528.707;347.816.120
Feb-18;184.131.049;165.472.077;349.603.126
Mar-18;185.031.942;170.388.005;355.419.947
Apr-18;183.399.668;175.792.371;359.192.039
May-18;184.227.154;173.902.943;358.130.097
Jun-18;187.373.801;171.743.091;359.116.892
Jul-18;186.413.087;170.376.496;356.789.583
Aug-18;191.594.630;174.125.250;365.719.880
Sep-18;195.138.475;176.292.220;371.430.695
Oct-18;192.513.618;170.343.570;362.857.188
Nov-18;199.870.050;176.328.775;376.198.825
Dec-18;218.156.668;192.069.571;410.226.239
Jan-19;199.849.865;172.986.831;372.836.696
Feb-19;198.300.738;178.104.350;376.405.088
Mar-19;197.339.506;180.041.402;377.380.908
Apr-19;194.784.239;180.887.251;375.671.489
May-19;195.382.098;176.189.112;371.571.210
Jun-19;196.040.586;180.590.314;376.630.901
Jul-19;195.600.066;176.853.266;372.453.332
Aug-19;197.966.794;178.777.150;376.743.944
Sep-19;201.707.888;185.853.835;387.561.723
Oct-19;201.432.938;180.496.056;381.928.994
Nov-19;211.615.347;194.625.989;406.241.336
Dec-19;228.309.144;219.412.639;447.721.783
Jan-20;212.568.631;191.981.511;404.550.142
Feb-20;210.226.771;199.681.037;409.907.807
Mar-20;214.205.638;221.617.254;435.822.892
Apr-20;237.659.783;233.661.053;471.320.836
May-20;256.972.280;246.472.095;503.444.375
Jun-20;270.241.798;263.802.708;534.044.506
Jul-20;279.811.158;266.621.350;546.432.508
Aug-20;286.098.526;279.222.044;565.320.570
Sep-20;287.734.762;298.269.629;586.004.391
Oct-20;293.291.950;283.519.273;576.811.224
Nov-20;298.182.519;288.320.874;586.503.393
Dec-20;309.049.408;313.755.229;622.804.637
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
