Data;27810 - Meios de pagamento amplos - M2 (saldo em final de período) - Novo - u.m.c. (mil);27813 - Meios de pagamento amplos - M3 (saldo em final de período) - Novo - u.m.c. (mil);27815 - Meios de pagamento amplos - M4 (saldo em final de periodo) - Novo - u.m.c. (mil)
12/2001;324.300.744 ;627.745.633 ;752.263.393
01/2002;317.273.183 ;628.602.077 ;754.307.152
02/2002;318.151.239 ;630.499.541 ;753.801.974
03/2002;327.125.313 ;642.165.859 ;758.774.257
04/2002;325.806.655 ;641.769.220 ;761.658.308
05/2002;328.168.352 ;641.898.836 ;762.389.232
06/2002;345.210.126 ;641.695.390 ;766.298.588
07/2002;356.786.925 ;644.127.849 ;767.858.197
08/2002;372.657.923 ;652.106.074 ;762.569.898
09/2002;379.257.449 ;661.980.677 ;771.166.619
10/2002;385.844.150 ;669.613.766 ;782.406.103
11/2002;389.214.301 ;678.988.616 ;791.892.090
12/2002;400.341.786 ;691.107.613 ;800.035.851
01/2003;391.237.088 ;696.054.502 ;810.272.451
02/2003;393.976.058 ;706.788.435 ;815.745.074
03/2003;388.142.457 ;710.712.013 ;820.859.498
04/2003;385.467.653 ;712.800.120 ;823.489.095
05/2003;388.490.690 ;721.321.334 ;833.412.205
06/2003;386.338.027 ;731.530.105 ;840.397.699
07/2003;388.813.938 ;749.105.032 ;856.697.017
08/2003;390.970.738 ;766.249.499 ;871.210.770
09/2003;392.149.375 ;779.958.060 ;888.610.164
10/2003;390.099.002 ;791.844.332 ;894.333.590
11/2003;401.818.084 ;814.963.841 ;921.918.579
12/2003;416.247.543 ;841.738.413 ;953.804.538
01/2004;408.357.097 ;850.484.302 ;968.637.026
02/2004;411.584.365 ;860.505.531 ;981.337.578
03/2004;413.528.931 ;870.826.987 ;989.838.137
04/2004;415.095.168 ;876.412.419 ;995.559.726
05/2004;429.712.981 ;908.888.294 ;1.012.425.016
06/2004;437.868.637 ;916.975.348 ;1.024.499.285
07/2004;443.323.859 ;927.486.531 ;1.038.909.105
08/2004;451.798.704 ;939.986.824 ;1.047.129.333
09/2004;458.676.647 ;949.435.412 ;1.061.114.243
10/2004;464.622.126 ;959.613.747 ;1.072.347.469
11/2004;472.370.296 ;974.733.631 ;1.087.722.745
12/2004;495.042.691 ;990.547.645 ;1.104.058.299
01/2005;490.235.409 ;995.464.144 ;1.108.249.718
02/2005;493.606.417 ;1.008.398.675 ;1.124.314.202
03/2005;503.251.673 ;1.027.786.068 ;1.145.318.592
04/2005;503.512.158 ;1.033.637.671 ;1.152.572.654
05/2005;505.887.925 ;1.040.046.083 ;1.161.520.593
06/2005;513.644.026 ;1.050.018.485 ;1.174.288.144
07/2005;518.947.452 ;1.070.923.797 ;1.195.820.490
08/2005;527.379.554 ;1.087.502.947 ;1.213.930.778
09/2005;537.869.645 ;1.109.859.415 ;1.234.582.849
10/2005;538.102.576 ;1.114.684.624 ;1.243.711.933
11/2005;548.097.119 ;1.138.403.099 ;1.267.334.878
12/2005;580.696.410 ;1.166.453.388 ;1.298.800.583
01/2006;565.857.853 ;1.182.375.081 ;1.310.962.889
02/2006;573.618.535 ;1.204.760.611 ;1.330.324.436
03/2006;577.567.486 ;1.217.947.577 ;1.338.582.920
04/2006;578.426.578 ;1.225.507.675 ;1.344.867.247
05/2006;592.703.839 ;1.245.562.990 ;1.368.336.835
06/2006;599.137.480 ;1.251.909.775 ;1.374.954.765
07/2006;603.661.585 ;1.263.276.121 ;1.396.099.933
08/2006;605.988.723 ;1.274.572.866 ;1.411.523.726
09/2006;610.457.741 ;1.292.498.222 ;1.430.836.318
10/2006;620.241.096 ;1.309.590.910 ;1.449.901.658
11/2006;634.750.381 ;1.340.098.738 ;1.484.533.006
12/2006;657.427.293 ;1.365.957.852 ;1.506.072.045
01/2007;641.559.137 ;1.381.091.644 ;1.529.980.880
02/2007;642.580.488 ;1.395.941.954 ;1.549.641.416
03/2007;646.115.709 ;1.403.437.444 ;1.568.197.310
04/2007;652.641.668 ;1.432.743.929 ;1.603.344.646
05/2007;659.908.686 ;1.448.292.815 ;1.622.667.259
06/2007;673.213.592 ;1.468.643.962 ;1.648.374.413
07/2007;679.342.235 ;1.451.583.471 ;1.674.030.797
08/2007;695.368.107 ;1.461.790.549 ;1.679.999.281
09/2007;709.585.174 ;1.498.606.015 ;1.755.455.817
10/2007;720.078.486 ;1.522.132.734 ;1.782.867.774
11/2007;732.920.543 ;1.569.704.721 ;1.803.115.915
12/2007;779.565.807 ;1.600.005.607 ;1.827.747.528
01/2008;755.191.254 ;1.601.688.950 ;1.837.638.125
02/2008;758.572.363 ;1.618.982.555 ;1.861.261.987
03/2008;780.089.115 ;1.636.587.622 ;1.882.375.451
04/2008;815.392.374 ;1.675.853.648 ;1.921.808.985
05/2008;846.322.011 ;1.706.968.916 ;1.958.889.483
06/2008;870.906.826 ;1.721.026.840 ;1.977.271.695
07/2008;919.095.072 ;1.764.903.833 ;2.017.769.516
08/2008;964.017.755 ;1.801.310.760 ;2.054.588.149
09/2008;1.003.158.652 ;1.825.938.710 ;2.082.000.869
10/2008;1.027.541.803 ;1.833.678.890 ;2.087.059.318
11/2008;1.048.357.196 ;1.868.278.256 ;2.127.012.844
12/2008;1.086.785.083 ;1.894.808.837 ;2.165.026.979
01/2009;1.068.177.739 ;1.896.403.733 ;2.167.907.278
02/2009;1.074.117.820 ;1.911.377.234 ;2.185.998.463
03/2009;1.073.712.242 ;1.922.395.330 ;2.201.970.399
04/2009;1.077.756.632 ;1.950.835.852 ;2.224.228.662
05/2009;1.091.164.504 ;1.981.875.506 ;2.254.370.643
06/2009;1.112.294.167 ;1.997.955.514 ;2.261.608.856
07/2009;1.115.662.312 ;2.035.540.975 ;2.321.899.332
08/2009;1.121.786.452 ;2.069.824.769 ;2.355.008.902
09/2009;1.139.974.843 ;2.108.364.057 ;2.391.092.564
10/2009;1.135.682.421 ;2.129.862.633 ;2.427.046.587
11/2009;1.150.559.910 ;2.158.865.053 ;2.458.339.280
12/2009;1.185.866.143 ;2.196.530.424 ;2.497.479.450
01/2010;1.164.959.304 ;2.322.483.632 ;2.605.840.471
02/2010;1.168.268.490 ;2.331.431.779 ;2.623.278.526
03/2010;1.183.495.173 ;2.363.486.147 ;2.659.498.428
04/2010;1.179.396.787 ;2.371.436.991 ;2.670.103.559
05/2010;1.193.103.293 ;2.402.387.178 ;2.707.324.124
06/2010;1.213.647.686 ;2.429.332.137 ;2.741.751.027
07/2010;1.224.429.731 ;2.470.349.066 ;2.777.583.916
08/2010;1.248.586.797 ;2.519.676.850 ;2.824.549.127
09/2010;1.280.552.635 ;2.567.999.140 ;2.872.131.561
10/2010;1.292.953.330 ;2.620.660.155 ;2.943.842.406
11/2010;1.324.903.932 ;2.643.539.508 ;2.973.395.179
12/2010;1.387.911.551 ;2.681.421.355 ;2.976.783.487
01/2011;1.373.573.507 ;2.692.091.783 ;2.999.789.901
02/2011;1.393.166.332 ;2.746.372.688 ;3.075.998.853
03/2011;1.421.898.024 ;2.774.165.612 ;3.096.759.658
04/2011;1.429.732.032 ;2.802.614.210 ;3.133.705.266
05/2011;1.455.032.495 ;2.837.176.945 ;3.166.562.726
06/2011;1.483.845.139 ;2.859.691.238 ;3.188.121.318
07/2011;1.504.654.844 ;2.917.116.204 ;3.236.156.038
08/2011;1.530.671.978 ;2.973.056.786 ;3.267.212.177
09/2011;1.564.422.897 ;3.009.561.825 ;3.300.817.548
10/2011;1.571.741.588 ;3.033.171.871 ;3.332.368.524
11/2011;1.602.533.597 ;3.058.534.253 ;3.344.917.083
12/2011;1.649.901.271 ;3.126.468.029 ;3.420.779.729
01/2012;1.624.306.909 ;3.183.704.028 ;3.467.874.222
02/2012;1.630.953.144 ;3.215.823.078 ;3.501.666.521
03/2012;1.648.106.102 ;3.280.594.773 ;3.560.241.315
04/2012;1.643.620.310 ;3.311.417.702 ;3.572.707.204
05/2012;1.668.158.595 ;3.358.168.535 ;3.625.970.074
06/2012;1.691.859.070 ;3.378.112.765 ;3.643.522.442
07/2012;1.701.379.607 ;3.428.574.172 ;3.678.241.870
08/2012;1.717.369.610 ;3.486.156.088 ;3.737.939.097
09/2012;1.737.700.016 ;3.509.444.353 ;3.757.564.160
10/2012;1.742.734.111 ;3.560.256.027 ;3.806.703.466
11/2012;1.759.318.172 ;3.595.180.344 ;3.833.305.417
12/2012;1.792.891.488 ;3.609.680.508 ;3.860.098.790
01/2013;1.750.647.756 ;3.641.468.977 ;3.876.730.386
02/2013;1.749.820.224 ;3.656.344.131 ;3.905.533.529
03/2013;1.784.054.636 ;3.690.666.043 ;3.937.286.921
04/2013;1.781.381.964 ;3.718.643.709 ;3.977.938.892
05/2013;1.808.987.072 ;3.763.267.815 ;4.039.567.474
06/2013;1.847.726.382 ;3.781.611.175 ;4.076.016.558
07/2013;1.854.519.202 ;3.814.726.306 ;4.092.715.829
08/2013;1.874.736.680 ;3.834.189.886 ;4.126.641.494
09/2013;1.892.308.996 ;3.856.984.371 ;4.161.521.066
10/2013;1.903.729.843 ;3.885.993.526 ;4.201.617.658
11/2013;1.940.434.536 ;3.897.745.977 ;4.234.749.839
12/2013;1.985.467.611 ;3.947.967.099 ;4.267.350.449
01/2014;1.971.127.279 ;3.956.852.345 ;4.302.958.043
02/2014;1.989.751.973 ;3.973.241.537 ;4.308.697.091
03/2014;2.004.771.520 ;3.987.162.587 ;4.323.341.813
04/2014;2.018.409.621 ;4.024.128.054 ;4.353.875.595
05/2014;2.037.576.287 ;4.071.238.100 ;4.391.423.444
06/2014;2.061.091.340 ;4.101.325.335 ;4.428.178.547
07/2014;2.068.935.938 ;4.169.700.240 ;4.489.161.835
08/2014;2.087.372.837 ;4.271.481.439 ;4.570.292.750
09/2014;2.110.060.143 ;4.306.043.943 ;4.641.249.955
10/2014;2.121.339.527 ;4.349.931.096 ;4.677.624.437
11/2014;2.146.852.154 ;4.390.074.190 ;4.718.034.618
12/2014;2.186.471.965 ;4.438.289.475 ;4.774.925.265
01/2015;2.164.354.124 ;4.446.980.401 ;4.777.616.433
02/2015;2.168.510.301 ;4.446.708.674 ;4.793.695.676
03/2015;2.183.104.350 ;4.475.838.274 ;4.836.693.747
04/2015;2.178.077.343 ;4.493.113.529 ;4.850.532.086
05/2015;2.193.636.407 ;4.554.350.444 ;4.908.824.344
06/2015;2.200.717.397 ;4.563.586.143 ;4.951.069.509
07/2015;2.210.374.249 ;4.597.352.502 ;4.989.008.758
08/2015;2.212.621.000 ;4.591.457.079 ;5.022.943.900
09/2015;2.233.749.004 ;4.636.253.676 ;5.087.639.840
10/2015;2.252.120.829 ;4.677.523.145 ;5.114.530.928
11/2015;2.269.537.065 ;4.716.993.314 ;5.163.315.756
12/2015;2.334.143.094 ;4.854.978.073 ;5.312.283.123
01/2016;2.300.666.103 ;4.829.018.658 ;5.291.768.650
02/2016;2.301.159.340 ;4.884.235.641 ;5.331.795.004
03/2016;2.301.406.917 ;4.953.973.835 ;5.389.752.466
04/2016;2.298.824.612 ;4.975.614.007 ;5.419.606.850
05/2016;2.312.333.789 ;5.008.017.964 ;5.453.699.716
06/2016;2.328.060.305 ;5.042.395.159 ;5.492.324.102
07/2016;2.335.393.825 ;5.093.742.194 ;5.548.744.457
08/2016;2.348.937.566 ;5.158.943.154 ;5.607.068.135
09/2016;2.351.620.449 ;5.205.671.446 ;5.652.149.886
10/2016;2.356.477.212 ;5.228.485.955 ;5.681.511.504
11/2016;2.387.236.146 ;5.264.955.221 ;5.743.868.110
12/2016;2.446.065.748 ;5.370.570.893 ;5.831.877.727
01/2017;2.390.710.458 ;5.403.067.549 ;5.842.419.766
02/2017;2.401.311.628 ;5.428.196.722 ;5.861.693.498
03/2017;2.413.002.766 ;5.507.791.836 ;5.936.525.988
04/2017;2.428.356.121 ;5.474.967.657 ;5.925.396.119
05/2017;2.462.036.268 ;5.495.565.318 ;5.947.255.664
06/2017;2.497.091.464 ;5.518.949.598 ;5.978.559.446
07/2017;2.492.501.008 ;5.543.482.574 ;5.978.280.665
08/2017;2.513.003.631 ;5.626.754.248 ;6.054.119.494
09/2017;2.529.390.340 ;5.677.639.428 ;6.092.331.523
10/2017;2.516.956.654 ;5.711.202.165 ;6.146.692.564
11/2017;2.542.372.506 ;5.713.739.945 ;6.167.287.138
12/2017;2.581.696.299 ;5.770.354.874 ;6.226.509.348
01/2018;2.540.195.151 ;5.774.734.690 ;6.206.921.935
02/2018;2.555.764.990 ;5.800.302.433 ;6.226.461.110
03/2018;2.610.244.305 ;5.858.214.642 ;6.285.845.760
04/2018;2.610.320.393 ;5.862.418.608 ;6.301.712.173
05/2018;2.639.056.258 ;5.875.957.544 ;6.393.646.561
06/2018;2.687.682.367 ;5.937.930.939 ;6.476.692.981
07/2018;2.687.705.607 ;5.952.652.635 ;6.473.910.303
08/2018;2.722.687.661 ;6.051.069.562 ;6.588.892.467
09/2018;2.768.549.987 ;6.107.351.558 ;6.642.738.040
10/2018;2.758.971.123 ;6.137.916.038 ;6.629.067.471
11/2018;2.767.462.368 ;6.150.787.765 ;6.639.977.745
12/2018;2.851.295.642 ;6.327.699.486 ;6.760.860.118
01/2019;2.782.890.822 ;6.247.917.656 ;6.701.921.956
02/2019;2.789.368.553 ;6.261.466.804 ;6.709.137.534
03/2019;2.826.921.482 ;6.316.011.118 ;6.786.532.799
04/2019;2.837.567.785 ;6.329.039.326 ;6.802.015.276
05/2019;2.858.260.568 ;6.413.435.285 ;6.851.178.385
06/2019;2.882.284.876 ;6.462.185.630 ;6.884.678.511
07/2019;2.887.325.914 ;6.514.147.980 ;6.915.631.701
08/2019;2.910.838.022 ;6.552.928.340 ;7.022.462.550
09/2019;2.954.813.223 ;6.646.055.953 ;7.092.243.208
10/2019;2.966.159.632 ;6.666.132.060 ;7.090.277.775
11/2019;3.006.693.123 ;6.705.196.896 ;7.159.558.180
12/2019;3.099.422.442 ;6.813.474.032 ;7.256.443.849
01/2020;3.032.056.110 ;6.750.429.150 ;7.195.871.247
02/2020;3.043.035.747 ;6.787.939.129 ;7.215.768.079
03/2020;3.209.501.552 ;6.874.426.696 ;7.333.256.201
04/2020;3.392.903.309 ;7.041.714.154 ;7.472.991.203
05/2020;3.538.699.264 ;7.210.605.349 ;7.627.555.239
06/2020;3.633.595.533 ;7.400.929.374 ;7.832.931.679
07/2020;3.718.433.395 ;7.560.493.317 ;7.957.422.496
08/2020;3.757.567.018 ;7.689.525.475 ;8.097.711.101
09/2020;3.842.696.583 ;7.752.745.912 ;8.229.714.368
10/2020;3.879.303.289 ;7.779.277.851 ;8.276.106.339
11/2020;3.900.799.747 ;7.814.614.066 ;8.330.070.759
12/2020;3.985.578.299 ;8.041.803.209 ;8.472.549.250
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
