Data,Série,Valor
Dec 2001,M2,324.300744
Jan 2002,M2,317.273183
Feb 2002,M2,318.151239
Mar 2002,M2,327.125313
Apr 2002,M2,325.806655
May 2002,M2,328.168352
Jun 2002,M2,345.210126
Jul 2002,M2,356.786925
Aug 2002,M2,372.657923
Sep 2002,M2,379.257449
Oct 2002,M2,385.84415
Nov 2002,M2,389.214301
Dec 2002,M2,400.341786
Jan 2003,M2,391.23708800000003
Feb 2003,M2,393.976058
Mar 2003,M2,388.142457
Apr 2003,M2,385.467653
May 2003,M2,388.49069
Jun 2003,M2,386.338027
Jul 2003,M2,388.813938
Aug 2003,M2,390.970738
Sep 2003,M2,392.149375
Oct 2003,M2,390.099002
Nov 2003,M2,401.818084
Dec 2003,M2,416.247543
Jan 2004,M2,408.357097
Feb 2004,M2,411.584365
Mar 2004,M2,413.528931
Apr 2004,M2,415.095168
May 2004,M2,429.712981
Jun 2004,M2,437.868637
Jul 2004,M2,443.323859
Aug 2004,M2,451.798704
Sep 2004,M2,458.676647
Oct 2004,M2,464.622126
Nov 2004,M2,472.370296
Dec 2004,M2,495.042691
Jan 2005,M2,490.235409
Feb 2005,M2,493.606417
Mar 2005,M2,503.251673
Apr 2005,M2,503.512158
May 2005,M2,505.887925
Jun 2005,M2,513.644026
Jul 2005,M2,518.947452
Aug 2005,M2,527.379554
Sep 2005,M2,537.869645
Oct 2005,M2,538.102576
Nov 2005,M2,548.097119
Dec 2005,M2,580.69641
Jan 2006,M2,565.857853
Feb 2006,M2,573.618535
Mar 2006,M2,577.567486
Apr 2006,M2,578.426578
May 2006,M2,592.703839
Jun 2006,M2,599.13748
Jul 2006,M2,603.661585
Aug 2006,M2,605.988723
Sep 2006,M2,610.457741
Oct 2006,M2,620.241096
Nov 2006,M2,634.750381
Dec 2006,M2,657.427293
Jan 2007,M2,641.559137
Feb 2007,M2,642.580488
Mar 2007,M2,646.115709
Apr 2007,M2,652.641668
May 2007,M2,659.908686
Jun 2007,M2,673.213592
Jul 2007,M2,679.342235
Aug 2007,M2,695.368107
Sep 2007,M2,709.585174
Oct 2007,M2,720.078486
Nov 2007,M2,732.920543
Dec 2007,M2,779.565807
Jan 2008,M2,755.191254
Feb 2008,M2,758.572363
Mar 2008,M2,780.089115
Apr 2008,M2,815.392374
May 2008,M2,846.322011
Jun 2008,M2,870.906826
Jul 2008,M2,919.095072
Aug 2008,M2,964.017755
Sep 2008,M2,1003.158652
Oct 2008,M2,1027.541803
Nov 2008,M2,1048.357196
Dec 2008,M2,1086.785083
Jan 2009,M2,1068.177739
Feb 2009,M2,1074.11782
Mar 2009,M2,1073.712242
Apr 2009,M2,1077.756632
May 2009,M2,1091.164504
Jun 2009,M2,1112.294167
Jul 2009,M2,1115.662312
Aug 2009,M2,1121.786452
Sep 2009,M2,1139.974843
Oct 2009,M2,1135.682421
Nov 2009,M2,1150.55991
Dec 2009,M2,1185.866143
Jan 2010,M2,1164.959304
Feb 2010,M2,1168.26849
Mar 2010,M2,1183.495173
Apr 2010,M2,1179.396787
May 2010,M2,1193.103293
Jun 2010,M2,1213.647686
Jul 2010,M2,1224.429731
Aug 2010,M2,1248.586797
Sep 2010,M2,1280.552635
Oct 2010,M2,1292.95333
Nov 2010,M2,1324.903932
Dec 2010,M2,1387.911551
Jan 2011,M2,1373.573507
Feb 2011,M2,1393.166332
Mar 2011,M2,1421.898024
Apr 2011,M2,1429.732032
May 2011,M2,1455.032495
Jun 2011,M2,1483.845139
Jul 2011,M2,1504.654844
Aug 2011,M2,1530.671978
Sep 2011,M2,1564.422897
Oct 2011,M2,1571.741588
Nov 2011,M2,1602.533597
Dec 2011,M2,1649.901271
Jan 2012,M2,1624.306909
Feb 2012,M2,1630.953144
Mar 2012,M2,1648.106102
Apr 2012,M2,1643.62031
May 2012,M2,1668.158595
Jun 2012,M2,1691.85907
Jul 2012,M2,1701.379607
Aug 2012,M2,1717.36961
Sep 2012,M2,1737.700016
Oct 2012,M2,1742.734111
Nov 2012,M2,1759.318172
Dec 2012,M2,1792.891488
Jan 2013,M2,1750.647756
Feb 2013,M2,1749.820224
Mar 2013,M2,1784.054636
Apr 2013,M2,1781.381964
May 2013,M2,1808.987072
Jun 2013,M2,1847.726382
Jul 2013,M2,1854.519202
Aug 2013,M2,1874.73668
Sep 2013,M2,1892.308996
Oct 2013,M2,1903.729843
Nov 2013,M2,1940.434536
Dec 2013,M2,1985.467611
Jan 2014,M2,1971.127279
Feb 2014,M2,1989.751973
Mar 2014,M2,2004.77152
Apr 2014,M2,2018.409621
May 2014,M2,2037.576287
Jun 2014,M2,2061.09134
Jul 2014,M2,2068.935938
Aug 2014,M2,2087.372837
Sep 2014,M2,2110.060143
Oct 2014,M2,2121.339527
Nov 2014,M2,2146.852154
Dec 2014,M2,2186.471965
Jan 2015,M2,2164.354124
Feb 2015,M2,2168.510301
Mar 2015,M2,2183.10435
Apr 2015,M2,2178.077343
May 2015,M2,2193.636407
Jun 2015,M2,2200.717397
Jul 2015,M2,2210.374249
Aug 2015,M2,2212.621
Sep 2015,M2,2233.749004
Oct 2015,M2,2252.120829
Nov 2015,M2,2269.537065
Dec 2015,M2,2334.143094
Jan 2016,M2,2300.666103
Feb 2016,M2,2301.15934
Mar 2016,M2,2301.406917
Apr 2016,M2,2298.824612
May 2016,M2,2312.333789
Jun 2016,M2,2328.060305
Jul 2016,M2,2335.393825
Aug 2016,M2,2348.937566
Sep 2016,M2,2351.620449
Oct 2016,M2,2356.477212
Nov 2016,M2,2387.236146
Dec 2016,M2,2446.065748
Jan 2017,M2,2390.710458
Feb 2017,M2,2401.311628
Mar 2017,M2,2413.002766
Apr 2017,M2,2428.356121
May 2017,M2,2462.036268
Jun 2017,M2,2497.091464
Jul 2017,M2,2492.501008
Aug 2017,M2,2513.003631
Sep 2017,M2,2529.39034
Oct 2017,M2,2516.956654
Nov 2017,M2,2542.372506
Dec 2017,M2,2581.696299
Jan 2018,M2,2540.195151
Feb 2018,M2,2555.76499
Mar 2018,M2,2610.244305
Apr 2018,M2,2610.320393
